Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las mínimas;1991-2020;PONTEVEDRA;3.9;3.7;5.4;6.5;8.9;11.5;13.1;13.2;11.6;9.5;6.4;4.6;8.2
Temperatura media de las mínimas;1991-2020;SALAMANCA;0.1;0.2;2.3;4.2;7.3;10.8;13.0;13.0;10.2;7.1;3.2;0.8;6.0
Temperatura media de las mínimas;1991-2020;SANTA CRUZ DE TENERIFE;10.0;9.9;10.6;11.2;12.6;14.8;17.4;18.1;16.8;15.2;13.0;11.2;13.4
Temperatura media de las mínimas;1991-2020;SEGOVIA;-0.6;-0.5;1.7;3.6;7.0;10.9;13.3;13.3;10.0;6.7;2.4;0.2;5.7
Temperatura media de las mínimas;1991-2020;SEVILLA;4.5;5.4;7.7;9.6;12.7;16.2;18.5;18.9;16.3;13.0;8.4;5.9;11.4
Temperatura media de las mínimas;1991-2020;SORIA;-1.5;-1.4;0.6;2.6;5.9;9.5;11.5;11.6;8.4;5.3;1.6;-0.7;4.4
Temperatura media de las mínimas;1991-2020;TARRAGONA;3.5;3.8;6.1;8.1;11.7;15.6;18.4;18.8;15.4;11.8;7.1;4.3;10.4
Temperatura media de las mínimas;1991-2020;TERUEL;-0.8;-0.5;1.7;3.7;7.4;11.3;13.9;14.0;10.4;6.9;2.5;0.1;5.9
Temperatura media de las mínimas;1991-2020;TOLEDO;1.0;1.8;4.3;6.6;10.6;14.9;17.7;17.5;13.8;9.6;4.8;1.9;8.7
Temperatura media de las mínimas;1991-2020;VALENCIA/VALÈNCIA;2.8;3.3;5.3;7.4;10.7;14.6;17.5;17.9;14.8;11.0;6.5;3.8;9.6
Temperatura media de las mínimas;1991-2020;VALLADOLID;-0.2;-0.4;1.9;4.0;7.4;11.0;13.0;12.9;9.9;6.6;2.7;0.3;5.8
Temperatura media de las mínimas;1991-2020;ZAMORA;-0.3;-0.4;1.8;3.9;6.9;10.5;12.6;12.5;9.6;6.5;2.6;0.2;5.5
Temperatura media de las mínimas;1991-2020;ZARAGOZA;1.2;1.5;3.9;6.1;9.8;13.6;16.0;16.1;12.6;9.0;4.6;1.8;8.0
