Diagnóstico principal (CIE9MC);Sexo;Provincia, Comunidad y Ciudad autónoma de hospitalización;Total
249-250 Diabetes mellitus;Hombres;CASTILLA - LA MANCHA;532
249-250 Diabetes mellitus;Hombres;Albacete;147
249-250 Diabetes mellitus;Hombres;Ciudad Real;115
249-250 Diabetes mellitus;Hombres;Cuenca;46
249-250 Diabetes mellitus;Hombres;Guadalajara;86
249-250 Diabetes mellitus;Hombres;Toledo;138
249-250 Diabetes mellitus;Hombres;CATALUÑA;2.481
249-250 Diabetes mellitus;Hombres;Barcelona;1.976
249-250 Diabetes mellitus;Hombres;Girona;175
249-250 Diabetes mellitus;Hombres;Lleida;103
249-250 Diabetes mellitus;Hombres;Tarragona;227
249-250 Diabetes mellitus;Hombres;COMUNITAT VALENCIANA;1.977
249-250 Diabetes mellitus;Hombres;Alicante/Alacant;837
249-250 Diabetes mellitus;Hombres;Castellón/Castelló;193
249-250 Diabetes mellitus;Hombres;Valencia/València;947
249-250 Diabetes mellitus;Hombres;EXTREMADURA;316
249-250 Diabetes mellitus;Hombres;Badajoz;204
249-250 Diabetes mellitus;Hombres;Cáceres;112
249-250 Diabetes mellitus;Hombres;GALICIA;918
249-250 Diabetes mellitus;Hombres;Coruña, A;377
249-250 Diabetes mellitus;Hombres;Lugo;145
249-250 Diabetes mellitus;Hombres;Ourense;115
249-250 Diabetes mellitus;Hombres;Pontevedra;281
249-250 Diabetes mellitus;Hombres;MADRID, COMUNIDAD DE;1.699
249-250 Diabetes mellitus;Hombres;MURCIA, REGIÓN DE;667
249-250 Diabetes mellitus;Hombres;NAVARRA, COMUNIDAD FORAL DE;259
249-250 Diabetes mellitus;Hombres;PAÍS VASCO;827
249-250 Diabetes mellitus;Hombres;Araba/Álava;142
249-250 Diabetes mellitus;Hombres;Bizkaia;365
249-250 Diabetes mellitus;Hombres;Gipuzkoa;320
249-250 Diabetes mellitus;Hombres;RIOJA, LA;191
249-250 Diabetes mellitus;Hombres;Ceuta;47
249-250 Diabetes mellitus;Hombres;Melilla;42
249-250 Diabetes mellitus;Mujeres;TOTAL NACIONAL;11.299
249-250 Diabetes mellitus;Mujeres;ANDALUCÍA;1.536
249-250 Diabetes mellitus;Mujeres;Almería;113
249-250 Diabetes mellitus;Mujeres;Cádiz;262
249-250 Diabetes mellitus;Mujeres;Córdoba;128
249-250 Diabetes mellitus;Mujeres;Granada;219
249-250 Diabetes mellitus;Mujeres;Huelva;104
249-250 Diabetes mellitus;Mujeres;Jaén;131
249-250 Diabetes mellitus;Mujeres;Málaga;231
249-250 Diabetes mellitus;Mujeres;Sevilla;348
249-250 Diabetes mellitus;Mujeres;ARAGÓN;372
249-250 Diabetes mellitus;Mujeres;Huesca;58
249-250 Diabetes mellitus;Mujeres;Teruel;31
249-250 Diabetes mellitus;Mujeres;Zaragoza;283
249-250 Diabetes mellitus;Mujeres;ASTURIAS, PRINCIPADO DE;364
249-250 Diabetes mellitus;Mujeres;BALEARS, ILLES;319
249-250 Diabetes mellitus;Mujeres;CANARIAS;533
249-250 Diabetes mellitus;Mujeres;Palmas, Las;271
249-250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;262
249-250 Diabetes mellitus;Mujeres;CANTABRIA;135
249-250 Diabetes mellitus;Mujeres;CASTILLA Y LEÓN;843
249-250 Diabetes mellitus;Mujeres;Ávila;49
249-250 Diabetes mellitus;Mujeres;Burgos;121
249-250 Diabetes mellitus;Mujeres;León;154
249-250 Diabetes mellitus;Mujeres;Palencia;50
249-250 Diabetes mellitus;Mujeres;Salamanca;174
249-250 Diabetes mellitus;Mujeres;Segovia;20
249-250 Diabetes mellitus;Mujeres;Soria;25
249-250 Diabetes mellitus;Mujeres;Valladolid;176
249-250 Diabetes mellitus;Mujeres;Zamora;74
249-250 Diabetes mellitus;Mujeres;CASTILLA - LA MANCHA;462
249-250 Diabetes mellitus;Mujeres;Albacete;86
249-250 Diabetes mellitus;Mujeres;Ciudad Real;155
249-250 Diabetes mellitus;Mujeres;Cuenca;53
249-250 Diabetes mellitus;Mujeres;Guadalajara;65
249-250 Diabetes mellitus;Mujeres;Toledo;103
249-250 Diabetes mellitus;Mujeres;CATALUÑA;1.868
249-250 Diabetes mellitus;Mujeres;Barcelona;1.483
249-250 Diabetes mellitus;Mujeres;Girona;136
249-250 Diabetes mellitus;Mujeres;Lleida;74
249-250 Diabetes mellitus;Mujeres;Tarragona;175
249-250 Diabetes mellitus;Mujeres;COMUNITAT VALENCIANA;1.386
249-250 Diabetes mellitus;Mujeres;Alicante/Alacant;566
249-250 Diabetes mellitus;Mujeres;Castellón/Castelló;144
249-250 Diabetes mellitus;Mujeres;Valencia/València;676
249-250 Diabetes mellitus;Mujeres;EXTREMADURA;259
249-250 Diabetes mellitus;Mujeres;Badajoz;172
249-250 Diabetes mellitus;Mujeres;Cáceres;87
249-250 Diabetes mellitus;Mujeres;GALICIA;728
249-250 Diabetes mellitus;Mujeres;Coruña, A;253
249-250 Diabetes mellitus;Mujeres;Lugo;103
249-250 Diabetes mellitus;Mujeres;Ourense;92
249-250 Diabetes mellitus;Mujeres;Pontevedra;280
249-250 Diabetes mellitus;Mujeres;MADRID, COMUNIDAD DE;1.165
249-250 Diabetes mellitus;Mujeres;MURCIA, REGIÓN DE;399
249-250 Diabetes mellitus;Mujeres;NAVARRA, COMUNIDAD FORAL DE;159
249-250 Diabetes mellitus;Mujeres;PAÍS VASCO;575
249-250 Diabetes mellitus;Mujeres;Araba/Álava;95
249-250 Diabetes mellitus;Mujeres;Bizkaia;273
249-250 Diabetes mellitus;Mujeres;Gipuzkoa;207
249-250 Diabetes mellitus;Mujeres;RIOJA, LA;135
249-250 Diabetes mellitus;Mujeres;Ceuta;32
249-250 Diabetes mellitus;Mujeres;Melilla;29
