Diagnóstico principal (CIE9MC);Sexo;Provincia, Comunidad y Ciudad autónoma de hospitalización;Total
249-250 Diabetes mellitus;Ambos sexos;TOTAL NACIONAL;26.681
249-250 Diabetes mellitus;Ambos sexos;ANDALUCÍA;3.711
249-250 Diabetes mellitus;Ambos sexos;Almería;315
249-250 Diabetes mellitus;Ambos sexos;Cádiz;562
249-250 Diabetes mellitus;Ambos sexos;Córdoba;261
249-250 Diabetes mellitus;Ambos sexos;Granada;481
249-250 Diabetes mellitus;Ambos sexos;Huelva;264
249-250 Diabetes mellitus;Ambos sexos;Jaén;380
249-250 Diabetes mellitus;Ambos sexos;Málaga;599
249-250 Diabetes mellitus;Ambos sexos;Sevilla;849
249-250 Diabetes mellitus;Ambos sexos;ARAGÓN;881
249-250 Diabetes mellitus;Ambos sexos;Huesca;148
249-250 Diabetes mellitus;Ambos sexos;Teruel;75
249-250 Diabetes mellitus;Ambos sexos;Zaragoza;658
249-250 Diabetes mellitus;Ambos sexos;ASTURIAS, PRINCIPADO DE;812
249-250 Diabetes mellitus;Ambos sexos;BALEARS, ILLES;751
249-250 Diabetes mellitus;Ambos sexos;CANARIAS;1.240
249-250 Diabetes mellitus;Ambos sexos;Palmas, Las;681
249-250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;559
249-250 Diabetes mellitus;Ambos sexos;CANTABRIA;329
249-250 Diabetes mellitus;Ambos sexos;CASTILLA Y LEÓN;1.805
249-250 Diabetes mellitus;Ambos sexos;Ávila;104
249-250 Diabetes mellitus;Ambos sexos;Burgos;258
249-250 Diabetes mellitus;Ambos sexos;León;321
249-250 Diabetes mellitus;Ambos sexos;Palencia;101
249-250 Diabetes mellitus;Ambos sexos;Salamanca;365
249-250 Diabetes mellitus;Ambos sexos;Segovia;52
249-250 Diabetes mellitus;Ambos sexos;Soria;59
249-250 Diabetes mellitus;Ambos sexos;Valladolid;398
249-250 Diabetes mellitus;Ambos sexos;Zamora;147
249-250 Diabetes mellitus;Ambos sexos;CASTILLA - LA MANCHA;994
249-250 Diabetes mellitus;Ambos sexos;Albacete;233
249-250 Diabetes mellitus;Ambos sexos;Ciudad Real;270
249-250 Diabetes mellitus;Ambos sexos;Cuenca;99
249-250 Diabetes mellitus;Ambos sexos;Guadalajara;151
249-250 Diabetes mellitus;Ambos sexos;Toledo;241
249-250 Diabetes mellitus;Ambos sexos;CATALUÑA;4.348
249-250 Diabetes mellitus;Ambos sexos;Barcelona;3.459
249-250 Diabetes mellitus;Ambos sexos;Girona;311
249-250 Diabetes mellitus;Ambos sexos;Lleida;177
249-250 Diabetes mellitus;Ambos sexos;Tarragona;402
249-250 Diabetes mellitus;Ambos sexos;COMUNITAT VALENCIANA;3.363
249-250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;1.403
249-250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;337
249-250 Diabetes mellitus;Ambos sexos;Valencia/València;1.623
249-250 Diabetes mellitus;Ambos sexos;EXTREMADURA;575
249-250 Diabetes mellitus;Ambos sexos;Badajoz;376
249-250 Diabetes mellitus;Ambos sexos;Cáceres;199
249-250 Diabetes mellitus;Ambos sexos;GALICIA;1.646
249-250 Diabetes mellitus;Ambos sexos;Coruña, A;630
249-250 Diabetes mellitus;Ambos sexos;Lugo;248
249-250 Diabetes mellitus;Ambos sexos;Ourense;207
249-250 Diabetes mellitus;Ambos sexos;Pontevedra;561
249-250 Diabetes mellitus;Ambos sexos;MADRID, COMUNIDAD DE;2.864
249-250 Diabetes mellitus;Ambos sexos;MURCIA, REGIÓN DE;1.066
249-250 Diabetes mellitus;Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;418
249-250 Diabetes mellitus;Ambos sexos;PAÍS VASCO;1.402
249-250 Diabetes mellitus;Ambos sexos;Araba/Álava;237
249-250 Diabetes mellitus;Ambos sexos;Bizkaia;638
249-250 Diabetes mellitus;Ambos sexos;Gipuzkoa;527
249-250 Diabetes mellitus;Ambos sexos;RIOJA, LA;326
249-250 Diabetes mellitus;Ambos sexos;Ceuta;79
249-250 Diabetes mellitus;Ambos sexos;Melilla;71
249-250 Diabetes mellitus;Hombres;TOTAL NACIONAL;15.382
249-250 Diabetes mellitus;Hombres;ANDALUCÍA;2.175
249-250 Diabetes mellitus;Hombres;Almería;202
249-250 Diabetes mellitus;Hombres;Cádiz;300
249-250 Diabetes mellitus;Hombres;Córdoba;133
249-250 Diabetes mellitus;Hombres;Granada;262
249-250 Diabetes mellitus;Hombres;Huelva;160
249-250 Diabetes mellitus;Hombres;Jaén;249
249-250 Diabetes mellitus;Hombres;Málaga;368
249-250 Diabetes mellitus;Hombres;Sevilla;501
249-250 Diabetes mellitus;Hombres;ARAGÓN;508
249-250 Diabetes mellitus;Hombres;Huesca;90
249-250 Diabetes mellitus;Hombres;Teruel;43
249-250 Diabetes mellitus;Hombres;Zaragoza;375
249-250 Diabetes mellitus;Hombres;ASTURIAS, PRINCIPADO DE;448
249-250 Diabetes mellitus;Hombres;BALEARS, ILLES;432
249-250 Diabetes mellitus;Hombres;CANARIAS;707
249-250 Diabetes mellitus;Hombres;Palmas, Las;410
249-250 Diabetes mellitus;Hombres;Santa Cruz de Tenerife;297
249-250 Diabetes mellitus;Hombres;CANTABRIA;194
249-250 Diabetes mellitus;Hombres;CASTILLA Y LEÓN;962
249-250 Diabetes mellitus;Hombres;Ávila;55
249-250 Diabetes mellitus;Hombres;Burgos;137
249-250 Diabetes mellitus;Hombres;León;167
249-250 Diabetes mellitus;Hombres;Palencia;51
249-250 Diabetes mellitus;Hombres;Salamanca;191
249-250 Diabetes mellitus;Hombres;Segovia;32
249-250 Diabetes mellitus;Hombres;Soria;34
249-250 Diabetes mellitus;Hombres;Valladolid;222
249-250 Diabetes mellitus;Hombres;Zamora;73
