Diagnóstico principal (CIE9MC);Sexo;Provincia, Comunidad y Ciudad autónoma de hospitalización;Total
249-250 Diabetes mellitus;Ambos sexos;COMUNITAT VALENCIANA;3.347
249-250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;1.354
249-250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;359
249-250 Diabetes mellitus;Ambos sexos;Valencia/València;1.634
249-250 Diabetes mellitus;Ambos sexos;EXTREMADURA;639
249-250 Diabetes mellitus;Ambos sexos;Badajoz;419
249-250 Diabetes mellitus;Ambos sexos;Cáceres;220
249-250 Diabetes mellitus;Ambos sexos;GALICIA;1.663
249-250 Diabetes mellitus;Ambos sexos;Coruña, A;642
249-250 Diabetes mellitus;Ambos sexos;Lugo;257
249-250 Diabetes mellitus;Ambos sexos;Ourense;189
249-250 Diabetes mellitus;Ambos sexos;Pontevedra;575
249-250 Diabetes mellitus;Ambos sexos;MADRID, COMUNIDAD DE;2.997
249-250 Diabetes mellitus;Ambos sexos;MURCIA, REGIÓN DE;1.102
249-250 Diabetes mellitus;Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;418
249-250 Diabetes mellitus;Ambos sexos;PAÍS VASCO;1.425
249-250 Diabetes mellitus;Ambos sexos;Araba/Álava;274
249-250 Diabetes mellitus;Ambos sexos;Bizkaia;590
249-250 Diabetes mellitus;Ambos sexos;Gipuzkoa;561
249-250 Diabetes mellitus;Ambos sexos;RIOJA, LA;312
249-250 Diabetes mellitus;Ambos sexos;Ceuta;72
249-250 Diabetes mellitus;Ambos sexos;Melilla;75
249-250 Diabetes mellitus;Hombres;TOTAL NACIONAL;15.732
249-250 Diabetes mellitus;Hombres;ANDALUCÍA;2.252
249-250 Diabetes mellitus;Hombres;Almería;205
249-250 Diabetes mellitus;Hombres;Cádiz;322
249-250 Diabetes mellitus;Hombres;Córdoba;136
249-250 Diabetes mellitus;Hombres;Granada;300
249-250 Diabetes mellitus;Hombres;Huelva;165
249-250 Diabetes mellitus;Hombres;Jaén;261
249-250 Diabetes mellitus;Hombres;Málaga;359
249-250 Diabetes mellitus;Hombres;Sevilla;504
249-250 Diabetes mellitus;Hombres;ARAGÓN;553
249-250 Diabetes mellitus;Hombres;Huesca;77
249-250 Diabetes mellitus;Hombres;Teruel;53
249-250 Diabetes mellitus;Hombres;Zaragoza;423
249-250 Diabetes mellitus;Hombres;ASTURIAS, PRINCIPADO DE;316
249-250 Diabetes mellitus;Hombres;BALEARS, ILLES;478
249-250 Diabetes mellitus;Hombres;CANARIAS;736
249-250 Diabetes mellitus;Hombres;Palmas, Las;356
249-250 Diabetes mellitus;Hombres;Santa Cruz de Tenerife;380
249-250 Diabetes mellitus;Hombres;CANTABRIA;161
249-250 Diabetes mellitus;Hombres;CASTILLA Y LEÓN;1.087
249-250 Diabetes mellitus;Hombres;Ávila;48
249-250 Diabetes mellitus;Hombres;Burgos;140
249-250 Diabetes mellitus;Hombres;León;189
249-250 Diabetes mellitus;Hombres;Palencia;64
249-250 Diabetes mellitus;Hombres;Salamanca;236
249-250 Diabetes mellitus;Hombres;Segovia;53
249-250 Diabetes mellitus;Hombres;Soria;47
249-250 Diabetes mellitus;Hombres;Valladolid;239
249-250 Diabetes mellitus;Hombres;Zamora;71
249-250 Diabetes mellitus;Hombres;CASTILLA - LA MANCHA;514
249-250 Diabetes mellitus;Hombres;Albacete;136
249-250 Diabetes mellitus;Hombres;Ciudad Real;136
249-250 Diabetes mellitus;Hombres;Cuenca;38
249-250 Diabetes mellitus;Hombres;Guadalajara;71
249-250 Diabetes mellitus;Hombres;Toledo;133
249-250 Diabetes mellitus;Hombres;CATALUÑA;2.736
249-250 Diabetes mellitus;Hombres;Barcelona;2.191
249-250 Diabetes mellitus;Hombres;Girona;201
249-250 Diabetes mellitus;Hombres;Lleida;109
249-250 Diabetes mellitus;Hombres;Tarragona;235
249-250 Diabetes mellitus;Hombres;COMUNITAT VALENCIANA;1.951
249-250 Diabetes mellitus;Hombres;Alicante/Alacant;827
249-250 Diabetes mellitus;Hombres;Castellón/Castelló;199
249-250 Diabetes mellitus;Hombres;Valencia/València;925
249-250 Diabetes mellitus;Hombres;EXTREMADURA;361
249-250 Diabetes mellitus;Hombres;Badajoz;227
249-250 Diabetes mellitus;Hombres;Cáceres;134
249-250 Diabetes mellitus;Hombres;GALICIA;929
249-250 Diabetes mellitus;Hombres;Coruña, A;367
249-250 Diabetes mellitus;Hombres;Lugo;159
249-250 Diabetes mellitus;Hombres;Ourense;98
249-250 Diabetes mellitus;Hombres;Pontevedra;305
249-250 Diabetes mellitus;Hombres;MADRID, COMUNIDAD DE;1.725
249-250 Diabetes mellitus;Hombres;MURCIA, REGIÓN DE;615
249-250 Diabetes mellitus;Hombres;NAVARRA, COMUNIDAD FORAL DE;243
249-250 Diabetes mellitus;Hombres;PAÍS VASCO;830
249-250 Diabetes mellitus;Hombres;Araba/Álava;157
249-250 Diabetes mellitus;Hombres;Bizkaia;327
249-250 Diabetes mellitus;Hombres;Gipuzkoa;346
249-250 Diabetes mellitus;Hombres;RIOJA, LA;172
249-250 Diabetes mellitus;Hombres;Ceuta;34
249-250 Diabetes mellitus;Hombres;Melilla;39
249-250 Diabetes mellitus;Mujeres;TOTAL NACIONAL;11.668
249-250 Diabetes mellitus;Mujeres;ANDALUCÍA;1.514
249-250 Diabetes mellitus;Mujeres;Almería;115
249-250 Diabetes mellitus;Mujeres;Cádiz;273
249-250 Diabetes mellitus;Mujeres;Córdoba;115
249-250 Diabetes mellitus;Mujeres;Granada;224
249-250 Diabetes mellitus;Mujeres;Huelva;86
249-250 Diabetes mellitus;Mujeres;Jaén;136
249-250 Diabetes mellitus;Mujeres;Málaga;216
249-250 Diabetes mellitus;Mujeres;Sevilla;349
249-250 Diabetes mellitus;Mujeres;ARAGÓN;386
249-250 Diabetes mellitus;Mujeres;Huesca;68
249-250 Diabetes mellitus;Mujeres;Teruel;26
249-250 Diabetes mellitus;Mujeres;Zaragoza;292
249-250 Diabetes mellitus;Mujeres;ASTURIAS, PRINCIPADO DE;279
249-250 Diabetes mellitus;Mujeres;BALEARS, ILLES;322
249-250 Diabetes mellitus;Mujeres;CANARIAS;533
249-250 Diabetes mellitus;Mujeres;Palmas, Las;282
249-250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;251
249-250 Diabetes mellitus;Mujeres;CANTABRIA;147
249-250 Diabetes mellitus;Mujeres;CASTILLA Y LEÓN;882
249-250 Diabetes mellitus;Mujeres;Ávila;54
249-250 Diabetes mellitus;Mujeres;Burgos;127
249-250 Diabetes mellitus;Mujeres;León;150
249-250 Diabetes mellitus;Mujeres;Palencia;66
249-250 Diabetes mellitus;Mujeres;Salamanca;158
249-250 Diabetes mellitus;Mujeres;Segovia;24
249-250 Diabetes mellitus;Mujeres;Soria;32
249-250 Diabetes mellitus;Mujeres;Valladolid;182
249-250 Diabetes mellitus;Mujeres;Zamora;89
249-250 Diabetes mellitus;Mujeres;CASTILLA - LA MANCHA;399
249-250 Diabetes mellitus;Mujeres;Albacete;73
249-250 Diabetes mellitus;Mujeres;Ciudad Real;133
249-250 Diabetes mellitus;Mujeres;Cuenca;24
249-250 Diabetes mellitus;Mujeres;Guadalajara;71
249-250 Diabetes mellitus;Mujeres;Toledo;98
249-250 Diabetes mellitus;Mujeres;CATALUÑA;2.056
249-250 Diabetes mellitus;Mujeres;Barcelona;1.635
249-250 Diabetes mellitus;Mujeres;Girona;146
249-250 Diabetes mellitus;Mujeres;Lleida;67
249-250 Diabetes mellitus;Mujeres;Tarragona;208
249-250 Diabetes mellitus;Mujeres;COMUNITAT VALENCIANA;1.396
249-250 Diabetes mellitus;Mujeres;Alicante/Alacant;527
249-250 Diabetes mellitus;Mujeres;Castellón/Castelló;160
249-250 Diabetes mellitus;Mujeres;Valencia/València;709
249-250 Diabetes mellitus;Mujeres;EXTREMADURA;278
249-250 Diabetes mellitus;Mujeres;Badajoz;192
249-250 Diabetes mellitus;Mujeres;Cáceres;86
249-250 Diabetes mellitus;Mujeres;GALICIA;735
249-250 Diabetes mellitus;Mujeres;Coruña, A;275
249-250 Diabetes mellitus;Mujeres;Lugo;99
249-250 Diabetes mellitus;Mujeres;Ourense;91
249-250 Diabetes mellitus;Mujeres;Pontevedra;270
249-250 Diabetes mellitus;Mujeres;MADRID, COMUNIDAD DE;1.272
249-250 Diabetes mellitus;Mujeres;MURCIA, REGIÓN DE;487
249-250 Diabetes mellitus;Mujeres;NAVARRA, COMUNIDAD FORAL DE;175
249-250 Diabetes mellitus;Mujeres;PAÍS VASCO;594
249-250 Diabetes mellitus;Mujeres;Araba/Álava;117
249-250 Diabetes mellitus;Mujeres;Bizkaia;262
249-250 Diabetes mellitus;Mujeres;Gipuzkoa;215
249-250 Diabetes mellitus;Mujeres;RIOJA, LA;139
249-250 Diabetes mellitus;Mujeres;Ceuta;38
249-250 Diabetes mellitus;Mujeres;Melilla;36
