Diagnóstico principal (CIE9MC);Sexo;Provincia, Comunidad y Ciudad autónoma de hospitalización;Total
249-250 Diabetes mellitus;Ambos sexos;TOTAL NACIONAL;27.400
249-250 Diabetes mellitus;Ambos sexos;ANDALUCÍA;3.766
249-250 Diabetes mellitus;Ambos sexos;Almería;320
249-250 Diabetes mellitus;Ambos sexos;Cádiz;595
249-250 Diabetes mellitus;Ambos sexos;Córdoba;251
249-250 Diabetes mellitus;Ambos sexos;Granada;524
249-250 Diabetes mellitus;Ambos sexos;Huelva;252
249-250 Diabetes mellitus;Ambos sexos;Jaén;397
249-250 Diabetes mellitus;Ambos sexos;Málaga;574
249-250 Diabetes mellitus;Ambos sexos;Sevilla;853
249-250 Diabetes mellitus;Ambos sexos;ARAGÓN;939
249-250 Diabetes mellitus;Ambos sexos;Huesca;145
249-250 Diabetes mellitus;Ambos sexos;Teruel;79
249-250 Diabetes mellitus;Ambos sexos;Zaragoza;715
249-250 Diabetes mellitus;Ambos sexos;ASTURIAS, PRINCIPADO DE;595
249-250 Diabetes mellitus;Ambos sexos;BALEARS, ILLES;801
249-250 Diabetes mellitus;Ambos sexos;CANARIAS;1.269
249-250 Diabetes mellitus;Ambos sexos;Palmas, Las;638
249-250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;631
249-250 Diabetes mellitus;Ambos sexos;CANTABRIA;308
249-250 Diabetes mellitus;Ambos sexos;CASTILLA Y LEÓN;1.968
249-250 Diabetes mellitus;Ambos sexos;Ávila;102
249-250 Diabetes mellitus;Ambos sexos;Burgos;267
249-250 Diabetes mellitus;Ambos sexos;León;339
249-250 Diabetes mellitus;Ambos sexos;Palencia;130
249-250 Diabetes mellitus;Ambos sexos;Salamanca;394
249-250 Diabetes mellitus;Ambos sexos;Segovia;77
249-250 Diabetes mellitus;Ambos sexos;Soria;79
249-250 Diabetes mellitus;Ambos sexos;Valladolid;421
249-250 Diabetes mellitus;Ambos sexos;Zamora;160
249-250 Diabetes mellitus;Ambos sexos;CASTILLA - LA MANCHA;913
249-250 Diabetes mellitus;Ambos sexos;Albacete;209
249-250 Diabetes mellitus;Ambos sexos;Ciudad Real;269
249-250 Diabetes mellitus;Ambos sexos;Cuenca;62
249-250 Diabetes mellitus;Ambos sexos;Guadalajara;142
249-250 Diabetes mellitus;Ambos sexos;Toledo;231
249-250 Diabetes mellitus;Ambos sexos;CATALUÑA;4.792
249-250 Diabetes mellitus;Ambos sexos;Barcelona;3.825
249-250 Diabetes mellitus;Ambos sexos;Girona;347
249-250 Diabetes mellitus;Ambos sexos;Lleida;176
249-250 Diabetes mellitus;Ambos sexos;Tarragona;444
