Diagnóstico principal (CIE10MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;14 Murcia, Región de;;1.110
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;;374
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;;1.453
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;01 Araba/Álava;295
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;48 Bizkaia;692
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;20 Gipuzkoa;466
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;17 Rioja, La;;300
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;18 Ceuta;;85
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;19 Melilla;;76
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;;;17.454
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;;2.560
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;04 Almería;282
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;11 Cádiz;429
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;14 Córdoba;173
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;18 Granada;262
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;21 Huelva;148
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;23 Jaén;199
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;29 Málaga;504
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;41 Sevilla;563
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;;542
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;22 Huesca;71
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;44 Teruel;36
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;50 Zaragoza;435
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;03 Asturias, Principado de;;375
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;04 Balears, Illes;;570
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;;867
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;35 Palmas, Las;508
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;359
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;06 Cantabria;;241
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;;1.084
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;05 Ávila;39
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;09 Burgos;145
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;24 León;237
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;34 Palencia;45
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;37 Salamanca;182
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;40 Segovia;51
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;42 Soria;32
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;47 Valladolid;274
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;49 Zamora;80
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;;617
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;02 Albacete;178
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;163
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;16 Cuenca;47
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;80
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;45 Toledo;149
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;;3.311
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;08 Barcelona;2.611
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;17 Girona;259
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;25 Lleida;132
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;43 Tarragona;309
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;;2.027
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;825
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;209
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;993
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;;418
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;06 Badajoz;279
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;10 Cáceres;139
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;;901
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;15 Coruña, A;353
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;27 Lugo;171
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;32 Ourense;87
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;36 Pontevedra;290
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;13 Madrid, Comunidad de;;1.816
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;14 Murcia, Región de;;689
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;15 Navarra, Comunidad Foral de;;250
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;;904
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;01 Araba/Álava;193
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;48 Bizkaia;416
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;20 Gipuzkoa;295
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;17 Rioja, La;;185
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;18 Ceuta;;45
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;19 Melilla;;53
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;;;11.352
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;;1.528
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;04 Almería;157
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;11 Cádiz;252
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;14 Córdoba;128
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;18 Granada;151
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;21 Huelva;106
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;23 Jaén;111
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;29 Málaga;261
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;41 Sevilla;361
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;02 Aragón;;330
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;02 Aragón;22 Huesca;32
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;02 Aragón;44 Teruel;24
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;02 Aragón;50 Zaragoza;274
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;03 Asturias, Principado de;;318
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;04 Balears, Illes;;280
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;05 Canarias;;556
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;05 Canarias;35 Palmas, Las;318
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;239
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;06 Cantabria;;166
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;;821
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;05 Ávila;48
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;09 Burgos;96
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;24 León;149
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;34 Palencia;62
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;37 Salamanca;154
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;40 Segovia;33
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;42 Soria;27
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;47 Valladolid;157
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;49 Zamora;96
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;;387
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;02 Albacete;74
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;118
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;16 Cuenca;49
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;63
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;45 Toledo;82
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;09 Cataluña;;2.182
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;09 Cataluña;08 Barcelona;1.713
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;09 Cataluña;17 Girona;158
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;09 Cataluña;25 Lleida;78
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;09 Cataluña;43 Tarragona;233
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;10 Comunitat Valenciana;;1.259
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;513
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;129
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;617
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;11 Extremadura;;280
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;11 Extremadura;06 Badajoz;180
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;11 Extremadura;10 Cáceres;100
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;12 Galicia;;744
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;12 Galicia;15 Coruña, A;291
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;12 Galicia;27 Lugo;102
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;12 Galicia;32 Ourense;83
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;12 Galicia;36 Pontevedra;268
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;13 Madrid, Comunidad de;;1.230
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;14 Murcia, Región de;;421
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;;124
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;16 País Vasco;;549
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;16 País Vasco;01 Araba/Álava;102
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;16 País Vasco;48 Bizkaia;276
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;16 País Vasco;20 Gipuzkoa;171
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;17 Rioja, La;;115
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;18 Ceuta;;40
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;19 Melilla;;23
