Diagnóstico;Sexo;Provincia de hospitalización;Total
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Total;362.114
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Andalucía;65.806
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Almería;4.921
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cádiz;10.893
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Córdoba;4.976
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Granada;9.050
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Huelva;5.815
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Jaén;3.486
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Málaga;11.482
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Sevilla;15.183
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Aragón;13.987
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Huesca;2.899
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Teruel;616
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Zaragoza;10.473
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Asturias (Principado de);12.082
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Balears (Illes);9.998
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Canarias;31.330
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Palmas (Las);12.456
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Santa Cruz de Tenerife;18.874
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cantabria;6.670
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Castilla y León;19.688
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Avila;1.651
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Burgos;2.345
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;León;5.755
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Palencia;945
