Diagnóstico;Sexo;Provincia de hospitalización;Total
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Pontevedra;3.298
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Madrid (Comunidad de);19.512
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Murcia (Región de);4.551
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Navarra (Comun. Foral de);2.635
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;País Vasco;6.040
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Alava;722
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Guipúzcoa;1.974
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Vizcaya;3.344
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Rioja (La);1.359
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ceuta;733
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Melilla;636
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Total;182.728
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Andalucía;31.269
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Almería;3.256
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cádiz;6.422
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Córdoba;2.922
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Granada;4.006
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Huelva;2.020
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Jaén;2.798
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Málaga;2.807
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Sevilla;7.038
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Aragón;6.321
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Huesca;1.101
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Teruel;202
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Zaragoza;5.018
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Asturias (Principado de);6.683
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Balears (Illes);3.132
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Canarias;11.220
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Palmas (Las);2.167
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Santa Cruz de Tenerife;9.053
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cantabria;3.308
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Castilla y León;13.976
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Avila;1.256
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Burgos;3.218
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;León;3.019
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Palencia;653
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Salamanca;2.186
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Segovia;613
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Soria;610
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Valladolid;1.847
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Zamora;574
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Castilla - La Mancha;5.728
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Albacete;544
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ciudad Real;2.496
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cuenca;363
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Guadalajara;665
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Toledo;1.661
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cataluña;40.023
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Barcelona;33.697
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Girona;2.183
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Lleida;1.683
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Tarragona;2.460
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Comunidad Valenciana;14.543
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Alicante;6.156
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Castellón de la Plana;1.033
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Valencia;7.354
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Extremadura;3.819
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Badajoz;2.710
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cáceres;1.109
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Galicia;11.387
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Coruña (A);5.934
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Lugo;1.006
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ourense;1.347
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Pontevedra;3.099
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Madrid (Comunidad de);14.238
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Murcia (Región de);5.033
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Navarra (Comun. Foral de);2.891
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;País Vasco;6.866
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Alava;1.445
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Guipúzcoa;2.210
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Vizcaya;3.211
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Rioja (La);1.633
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ceuta;345
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Melilla;311
