Diagnóstico;Sexo;Provincia de hospitalización;Total
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Total;177.209
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Andalucía;32.669
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Almería;3.172
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cádiz;7.641
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Córdoba;2.943
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Granada;3.974
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Huelva;1.654
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Jaén;3.042
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Málaga;4.389
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Sevilla;5.853
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Aragón;5.298
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Huesca;1.695
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Teruel;326
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Zaragoza;3.277
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Asturias (Principado de);6.384
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Balears (Illes);3.946
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Canarias;11.203
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Palmas (Las);2.476
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Santa Cruz de Tenerife;8.727
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cantabria;2.861
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castilla y León;10.196
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Avila;662
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Burgos;2.270
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;León;1.585
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Palencia;83
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Salamanca;1.378
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Segovia;959
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Soria;300
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Valladolid;1.896
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Zamora;1.063
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castilla - La Mancha;4.252
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Albacete;1.114
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ciudad Real;1.600
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cuenca;153
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Guadalajara;389
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Toledo;997
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cataluña;35.976
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Barcelona;26.119
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Girona;2.496
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Lleida;1.908
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Tarragona;5.453
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Comunidad Valenciana;14.207
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Alicante;2.905
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castellón de la Plana;3.754
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Valencia;7.548
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Extremadura;2.781
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Badajoz;2.389
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cáceres;392
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Galicia;11.969
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Coruña (A);5.319
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Lugo;2.038
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ourense;1.315
