Diagnóstico;Sexo;Provincia de hospitalización;Total
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Santa Cruz de Tenerife;16.659
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cantabria;5.896
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castilla y León;15.012
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Avila;1.265
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Burgos;1.784
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;León;1.917
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Palencia;994
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Salamanca;4.355
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Segovia;488
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Soria;870
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Valladolid;2.144
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Zamora;1.194
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castilla - La Mancha;4.574
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Albacete;400
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ciudad Real;1.325
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cuenca;713
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Guadalajara;917
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Toledo;1.219
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cataluña;32.435
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Barcelona;24.491
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Girona;2.223
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Lleida;2.784
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Tarragona;2.937
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Comunidad Valenciana;18.368
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Alicante;6.203
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castellón de la Plana;1.063
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Valencia;11.102
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Extremadura;4.780
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Badajoz;3.572
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cáceres;1.208
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Galicia;11.786
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Coruña (A);5.085
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Lugo;2.362
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ourense;1.489
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Pontevedra;2.850
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Madrid (Comunidad de);18.857
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Murcia (Región de);4.536
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Navarra (Comun. Foral de);2.699
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;País Vasco;7.515
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Alava;1.566
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Guipúzcoa;2.750
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Vizcaya;3.199
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Rioja (La);1.913
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ceuta;597
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Melilla;674
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Total;196.932
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Andalucía;36.408
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Almería;1.804
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cádiz;8.762
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Córdoba;3.202
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Granada;5.480
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Huelva;2.260
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Jaén;2.351
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Málaga;4.812
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Sevilla;7.738
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Aragón;5.427
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Huesca;309
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Teruel;295
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Zaragoza;4.824
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Asturias (Principado de);11.243
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Balears (Illes);3.509
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Canarias;16.292
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Palmas (Las);6.578
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Santa Cruz de Tenerife;9.714
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cantabria;2.877
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Castilla y León;10.655
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Avila;767
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Burgos;2.006
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;León;1.743
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Palencia;446
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Salamanca;2.099
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Segovia;670
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Soria;231
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Valladolid;2.289
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Zamora;405
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Castilla - La Mancha;5.445
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Albacete;1.897
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ciudad Real;1.296
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cuenca;410
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Guadalajara;279
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Toledo;1.564
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cataluña;37.208
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Barcelona;28.901
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Girona;3.234
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Lleida;1.920
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Tarragona;3.155
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Comunidad Valenciana;13.790
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Alicante;5.194
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Castellón de la Plana;1.348
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Valencia;7.248
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Extremadura;4.512
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Badajoz;3.737
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cáceres;775
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Galicia;13.037
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Coruña (A);6.633
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Lugo;1.619
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ourense;1.527
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Pontevedra;3.259
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Madrid (Comunidad de);18.880
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Murcia (Región de);4.308
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Navarra (Comun. Foral de);3.678
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;País Vasco;6.662
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Alava;1.022
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Guipúzcoa;2.640
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Vizcaya;3.000
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Rioja (La);1.569
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ceuta;910
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Melilla;521
