Diagnóstico;Sexo;Provincia de hospitalización;Total
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Total;397.812
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Andalucía;69.251
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Almería;4.106
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cádiz;14.938
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Córdoba;6.197
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Granada;10.343
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Huelva;3.685
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Jaén;3.767
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Málaga;10.905
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Sevilla;15.311
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Aragón;12.934
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Huesca;2.974
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Teruel;716
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Zaragoza;9.244
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Asturias (Principado de);17.582
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Balears (Illes);6.830
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Canarias;37.521
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Palmas (Las);11.148
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Santa Cruz de Tenerife;26.373
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cantabria;8.773
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Castilla y León;25.667
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Avila;2.033
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Burgos;3.790
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;León;3.660
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Palencia;1.440
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Salamanca;6.453
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Segovia;1.159
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Soria;1.101
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Valladolid;4.433
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Zamora;1.598
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Castilla - La Mancha;10.019
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Albacete;2.297
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Ciudad Real;2.621
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cuenca;1.122
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Guadalajara;1.196
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Toledo;2.783
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cataluña;69.644
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Barcelona;53.392
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Girona;5.456
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Lleida;4.703
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Tarragona;6.092
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Comunidad Valenciana;32.158
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Alicante;11.397
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Castellón de la Plana;2.411
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Valencia;18.350
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Extremadura;9.292
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Badajoz;7.309
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cáceres;1.983
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Galicia;24.823
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Coruña (A);11.718
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Lugo;3.981
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Ourense;3.016
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Pontevedra;6.108
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Madrid (Comunidad de);37.737
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Murcia (Región de);8.844
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Navarra (Comun. Foral de);6.377
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;País Vasco;14.176
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Alava;2.588
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Guipúzcoa;5.390
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Vizcaya;6.199
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Rioja (La);3.482
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Ceuta;1.506
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Melilla;1.195
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Total;200.880
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Andalucía;32.843
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Almería;2.301
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cádiz;6.176
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Córdoba;2.995
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Granada;4.863
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Huelva;1.425
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Jaén;1.416
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Málaga;6.093
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Sevilla;7.573
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Aragón;7.507
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Huesca;2.665
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Teruel;421
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Zaragoza;4.421
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Asturias (Principado de);6.340
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Balears (Illes);3.320
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Canarias;21.229
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Palmas (Las);4.570
