Causa de muerte;Sexo;Provincias;Periodo;Total
044  Diabetes mellitus;Total;03 Alicante/Alacant;2008;307
044  Diabetes mellitus;Total;03 Alicante/Alacant;2007;329
044  Diabetes mellitus;Total;03 Alicante/Alacant;2006;311
044  Diabetes mellitus;Total;03 Alicante/Alacant;2005;315
044  Diabetes mellitus;Total;03 Alicante/Alacant;2004;340
044  Diabetes mellitus;Total;03 Alicante/Alacant;2003;339
044  Diabetes mellitus;Total;03 Alicante/Alacant;2002;320
044  Diabetes mellitus;Total;03 Alicante/Alacant;2001;330
044  Diabetes mellitus;Total;03 Alicante/Alacant;2000;298
044  Diabetes mellitus;Total;03 Alicante/Alacant;1999;320
044  Diabetes mellitus;Total;03 Alicante/Alacant;1998;296
044  Diabetes mellitus;Total;03 Alicante/Alacant;1997;271
044  Diabetes mellitus;Total;03 Alicante/Alacant;1996;290
044  Diabetes mellitus;Total;03 Alicante/Alacant;1995;313
044  Diabetes mellitus;Total;03 Alicante/Alacant;1994;314
044  Diabetes mellitus;Total;03 Alicante/Alacant;1993;316
044  Diabetes mellitus;Total;03 Alicante/Alacant;1992;271
044  Diabetes mellitus;Total;03 Alicante/Alacant;1991;309
044  Diabetes mellitus;Total;03 Alicante/Alacant;1990;305
044  Diabetes mellitus;Total;03 Alicante/Alacant;1989;281
044  Diabetes mellitus;Total;03 Alicante/Alacant;1988;279
044  Diabetes mellitus;Total;03 Alicante/Alacant;1987;294
044  Diabetes mellitus;Total;03 Alicante/Alacant;1986;275
044  Diabetes mellitus;Total;03 Alicante/Alacant;1985;238
044  Diabetes mellitus;Total;03 Alicante/Alacant;1984;244
044  Diabetes mellitus;Total;03 Alicante/Alacant;1983;249
044  Diabetes mellitus;Total;03 Alicante/Alacant;1982;319
044  Diabetes mellitus;Total;03 Alicante/Alacant;1981;255
044  Diabetes mellitus;Total;03 Alicante/Alacant;1980;272
044  Diabetes mellitus;Total;04 Almería;2022;167
044  Diabetes mellitus;Total;04 Almería;2021;208
044  Diabetes mellitus;Total;04 Almería;2020;149
044  Diabetes mellitus;Total;04 Almería;2019;129
044  Diabetes mellitus;Total;04 Almería;2018;147
044  Diabetes mellitus;Total;04 Almería;2017;143
044  Diabetes mellitus;Total;04 Almería;2016;135
044  Diabetes mellitus;Total;04 Almería;2015;127
044  Diabetes mellitus;Total;04 Almería;2014;156
044  Diabetes mellitus;Total;04 Almería;2013;98
044  Diabetes mellitus;Total;04 Almería;2012;130
044  Diabetes mellitus;Total;04 Almería;2011;117
044  Diabetes mellitus;Total;04 Almería;2010;131
044  Diabetes mellitus;Total;04 Almería;2009;122
044  Diabetes mellitus;Total;04 Almería;2008;102
044  Diabetes mellitus;Total;04 Almería;2007;122
044  Diabetes mellitus;Total;04 Almería;2006;124
044  Diabetes mellitus;Total;04 Almería;2005;134
044  Diabetes mellitus;Total;04 Almería;2004;139
044  Diabetes mellitus;Total;04 Almería;2003;135
044  Diabetes mellitus;Total;04 Almería;2002;131
044  Diabetes mellitus;Total;04 Almería;2001;113
044  Diabetes mellitus;Total;04 Almería;2000;120
044  Diabetes mellitus;Total;04 Almería;1999;143
044  Diabetes mellitus;Total;04 Almería;1998;115
044  Diabetes mellitus;Total;04 Almería;1997;112
044  Diabetes mellitus;Total;04 Almería;1996;109
044  Diabetes mellitus;Total;04 Almería;1995;106
044  Diabetes mellitus;Total;04 Almería;1994;99
044  Diabetes mellitus;Total;04 Almería;1993;102
044  Diabetes mellitus;Total;04 Almería;1992;110
044  Diabetes mellitus;Total;04 Almería;1991;104
044  Diabetes mellitus;Total;04 Almería;1990;97
044  Diabetes mellitus;Total;04 Almería;1989;115
044  Diabetes mellitus;Total;04 Almería;1988;93
044  Diabetes mellitus;Total;04 Almería;1987;109
044  Diabetes mellitus;Total;04 Almería;1986;88
044  Diabetes mellitus;Total;04 Almería;1985;94
044  Diabetes mellitus;Total;04 Almería;1984;87
044  Diabetes mellitus;Total;04 Almería;1983;81
044  Diabetes mellitus;Total;04 Almería;1982;73
044  Diabetes mellitus;Total;04 Almería;1981;87
044  Diabetes mellitus;Total;04 Almería;1980;91
044  Diabetes mellitus;Total;01 Araba/Álava;2022;66
044  Diabetes mellitus;Total;01 Araba/Álava;2021;76
044  Diabetes mellitus;Total;01 Araba/Álava;2020;64
044  Diabetes mellitus;Total;01 Araba/Álava;2019;46
044  Diabetes mellitus;Total;01 Araba/Álava;2018;56
044  Diabetes mellitus;Total;01 Araba/Álava;2017;55
044  Diabetes mellitus;Total;01 Araba/Álava;2016;56
044  Diabetes mellitus;Total;01 Araba/Álava;2015;67
044  Diabetes mellitus;Total;01 Araba/Álava;2014;40
044  Diabetes mellitus;Total;01 Araba/Álava;2013;70
044  Diabetes mellitus;Total;01 Araba/Álava;2012;63
044  Diabetes mellitus;Total;01 Araba/Álava;2011;72
044  Diabetes mellitus;Total;01 Araba/Álava;2010;81
044  Diabetes mellitus;Total;01 Araba/Álava;2009;48
044  Diabetes mellitus;Total;01 Araba/Álava;2008;71
044  Diabetes mellitus;Total;01 Araba/Álava;2007;61
044  Diabetes mellitus;Total;01 Araba/Álava;2006;76
044  Diabetes mellitus;Total;01 Araba/Álava;2005;64
044  Diabetes mellitus;Total;01 Araba/Álava;2004;60
044  Diabetes mellitus;Total;01 Araba/Álava;2003;68
044  Diabetes mellitus;Total;01 Araba/Álava;2002;47
044  Diabetes mellitus;Total;01 Araba/Álava;2001;51
044  Diabetes mellitus;Total;01 Araba/Álava;2000;50
044  Diabetes mellitus;Total;01 Araba/Álava;1999;65
044  Diabetes mellitus;Total;01 Araba/Álava;1998;47
044  Diabetes mellitus;Total;01 Araba/Álava;1997;53
044  Diabetes mellitus;Total;01 Araba/Álava;1996;41
044  Diabetes mellitus;Total;01 Araba/Álava;1995;44
044  Diabetes mellitus;Total;01 Araba/Álava;1994;35
044  Diabetes mellitus;Total;01 Araba/Álava;1993;44
044  Diabetes mellitus;Total;01 Araba/Álava;1992;42
044  Diabetes mellitus;Total;01 Araba/Álava;1991;37
044  Diabetes mellitus;Total;01 Araba/Álava;1990;36
044  Diabetes mellitus;Total;01 Araba/Álava;1989;22
044  Diabetes mellitus;Total;01 Araba/Álava;1988;39
044  Diabetes mellitus;Total;01 Araba/Álava;1987;31
044  Diabetes mellitus;Total;01 Araba/Álava;1986;29
044  Diabetes mellitus;Total;01 Araba/Álava;1985;46
044  Diabetes mellitus;Total;01 Araba/Álava;1984;43
044  Diabetes mellitus;Total;01 Araba/Álava;1983;40
044  Diabetes mellitus;Total;01 Araba/Álava;1982;33
044  Diabetes mellitus;Total;01 Araba/Álava;1981;32
044  Diabetes mellitus;Total;01 Araba/Álava;1980;26
044  Diabetes mellitus;Total;33 Asturias;2022;335
044  Diabetes mellitus;Total;33 Asturias;2021;315
044  Diabetes mellitus;Total;33 Asturias;2020;347
044  Diabetes mellitus;Total;33 Asturias;2019;291
044  Diabetes mellitus;Total;33 Asturias;2018;320
044  Diabetes mellitus;Total;33 Asturias;2017;262
044  Diabetes mellitus;Total;33 Asturias;2016;288
044  Diabetes mellitus;Total;33 Asturias;2015;293
044  Diabetes mellitus;Total;33 Asturias;2014;292
044  Diabetes mellitus;Total;33 Asturias;2013;295
044  Diabetes mellitus;Total;33 Asturias;2012;330
044  Diabetes mellitus;Total;33 Asturias;2011;411
044  Diabetes mellitus;Total;33 Asturias;2010;340
044  Diabetes mellitus;Total;33 Asturias;2009;326
044  Diabetes mellitus;Total;33 Asturias;2008;338
044  Diabetes mellitus;Total;33 Asturias;2007;338
044  Diabetes mellitus;Total;33 Asturias;2006;321
044  Diabetes mellitus;Total;33 Asturias;2005;336
044  Diabetes mellitus;Total;33 Asturias;2004;328
044  Diabetes mellitus;Total;33 Asturias;2003;321
044  Diabetes mellitus;Total;33 Asturias;2002;352
044  Diabetes mellitus;Total;33 Asturias;2001;341
044  Diabetes mellitus;Total;33 Asturias;2000;354
044  Diabetes mellitus;Total;33 Asturias;1999;384
044  Diabetes mellitus;Total;33 Asturias;1998;411
044  Diabetes mellitus;Total;33 Asturias;1997;352
044  Diabetes mellitus;Total;33 Asturias;1996;398
044  Diabetes mellitus;Total;33 Asturias;1995;346
044  Diabetes mellitus;Total;33 Asturias;1994;300
044  Diabetes mellitus;Total;33 Asturias;1993;306
044  Diabetes mellitus;Total;33 Asturias;1992;314
044  Diabetes mellitus;Total;33 Asturias;1991;301
044  Diabetes mellitus;Total;33 Asturias;1990;318
044  Diabetes mellitus;Total;33 Asturias;1989;256
044  Diabetes mellitus;Total;33 Asturias;1988;301
044  Diabetes mellitus;Total;33 Asturias;1987;258
044  Diabetes mellitus;Total;33 Asturias;1986;315
044  Diabetes mellitus;Total;33 Asturias;1985;280
044  Diabetes mellitus;Total;33 Asturias;1984;275
044  Diabetes mellitus;Total;33 Asturias;1983;236
044  Diabetes mellitus;Total;33 Asturias;1982;238
044  Diabetes mellitus;Total;33 Asturias;1981;231
044  Diabetes mellitus;Total;33 Asturias;1980;197
044  Diabetes mellitus;Total;05 Ávila;2022;77
044  Diabetes mellitus;Total;05 Ávila;2021;91
044  Diabetes mellitus;Total;05 Ávila;2020;81
044  Diabetes mellitus;Total;05 Ávila;2019;52
044  Diabetes mellitus;Total;05 Ávila;2018;62
044  Diabetes mellitus;Total;05 Ávila;2017;66
044  Diabetes mellitus;Total;05 Ávila;2016;73
044  Diabetes mellitus;Total;05 Ávila;2015;76
044  Diabetes mellitus;Total;05 Ávila;2014;86
044  Diabetes mellitus;Total;05 Ávila;2013;81
044  Diabetes mellitus;Total;05 Ávila;2012;69
044  Diabetes mellitus;Total;05 Ávila;2011;72
044  Diabetes mellitus;Total;05 Ávila;2010;60
044  Diabetes mellitus;Total;05 Ávila;2009;43
044  Diabetes mellitus;Total;05 Ávila;2008;56
044  Diabetes mellitus;Total;05 Ávila;2007;51
044  Diabetes mellitus;Total;05 Ávila;2006;64
044  Diabetes mellitus;Total;05 Ávila;2005;55
044  Diabetes mellitus;Total;05 Ávila;2004;49
044  Diabetes mellitus;Total;05 Ávila;2003;55
044  Diabetes mellitus;Total;05 Ávila;2002;68
044  Diabetes mellitus;Total;05 Ávila;2001;65
044  Diabetes mellitus;Total;05 Ávila;2000;52
044  Diabetes mellitus;Total;05 Ávila;1999;69
044  Diabetes mellitus;Total;05 Ávila;1998;49
044  Diabetes mellitus;Total;05 Ávila;1997;62
044  Diabetes mellitus;Total;05 Ávila;1996;52
044  Diabetes mellitus;Total;05 Ávila;1995;55
044  Diabetes mellitus;Total;05 Ávila;1994;53
044  Diabetes mellitus;Total;05 Ávila;1993;33
044  Diabetes mellitus;Total;05 Ávila;1992;45
044  Diabetes mellitus;Total;05 Ávila;1991;38
044  Diabetes mellitus;Total;05 Ávila;1990;49
044  Diabetes mellitus;Total;05 Ávila;1989;48
044  Diabetes mellitus;Total;05 Ávila;1988;51
044  Diabetes mellitus;Total;05 Ávila;1987;40
044  Diabetes mellitus;Total;05 Ávila;1986;44
044  Diabetes mellitus;Total;05 Ávila;1985;29
044  Diabetes mellitus;Total;05 Ávila;1984;36
044  Diabetes mellitus;Total;05 Ávila;1983;35
044  Diabetes mellitus;Total;05 Ávila;1982;30
044  Diabetes mellitus;Total;05 Ávila;1981;27
044  Diabetes mellitus;Total;05 Ávila;1980;28
044  Diabetes mellitus;Total;06 Badajoz;2022;181
044  Diabetes mellitus;Total;06 Badajoz;2021;141
044  Diabetes mellitus;Total;06 Badajoz;2020;186
044  Diabetes mellitus;Total;06 Badajoz;2019;152
044  Diabetes mellitus;Total;06 Badajoz;2018;147
044  Diabetes mellitus;Total;06 Badajoz;2017;147
044  Diabetes mellitus;Total;06 Badajoz;2016;153
044  Diabetes mellitus;Total;06 Badajoz;2015;155
044  Diabetes mellitus;Total;06 Badajoz;2014;132
044  Diabetes mellitus;Total;06 Badajoz;2013;126
044  Diabetes mellitus;Total;06 Badajoz;2012;149
044  Diabetes mellitus;Total;06 Badajoz;2011;200
044  Diabetes mellitus;Total;06 Badajoz;2010;125
044  Diabetes mellitus;Total;06 Badajoz;2009;144
044  Diabetes mellitus;Total;06 Badajoz;2008;152
044  Diabetes mellitus;Total;06 Badajoz;2007;155
044  Diabetes mellitus;Total;06 Badajoz;2006;174
044  Diabetes mellitus;Total;06 Badajoz;2005;173
044  Diabetes mellitus;Total;06 Badajoz;2004;179
044  Diabetes mellitus;Total;06 Badajoz;2003;168
044  Diabetes mellitus;Total;06 Badajoz;2002;229
044  Diabetes mellitus;Total;06 Badajoz;2001;199
044  Diabetes mellitus;Total;06 Badajoz;2000;166
044  Diabetes mellitus;Total;06 Badajoz;1999;190
044  Diabetes mellitus;Total;06 Badajoz;1998;175
044  Diabetes mellitus;Total;06 Badajoz;1997;164
044  Diabetes mellitus;Total;06 Badajoz;1996;178
044  Diabetes mellitus;Total;06 Badajoz;1995;211
044  Diabetes mellitus;Total;06 Badajoz;1994;211
044  Diabetes mellitus;Total;06 Badajoz;1993;212
044  Diabetes mellitus;Total;06 Badajoz;1992;204
044  Diabetes mellitus;Total;06 Badajoz;1991;193
044  Diabetes mellitus;Total;06 Badajoz;1990;190
044  Diabetes mellitus;Total;06 Badajoz;1989;193
044  Diabetes mellitus;Total;06 Badajoz;1988;200
044  Diabetes mellitus;Total;06 Badajoz;1987;208
044  Diabetes mellitus;Total;06 Badajoz;1986;201
044  Diabetes mellitus;Total;06 Badajoz;1985;190
044  Diabetes mellitus;Total;06 Badajoz;1984;185
044  Diabetes mellitus;Total;06 Badajoz;1983;171
044  Diabetes mellitus;Total;06 Badajoz;1982;166
044  Diabetes mellitus;Total;06 Badajoz;1981;166
044  Diabetes mellitus;Total;06 Badajoz;1980;157
044  Diabetes mellitus;Total;07 Balears, Illes;2022;282
044  Diabetes mellitus;Total;07 Balears, Illes;2021;241
044  Diabetes mellitus;Total;07 Balears, Illes;2020;237
044  Diabetes mellitus;Total;07 Balears, Illes;2019;252
044  Diabetes mellitus;Total;07 Balears, Illes;2018;243
044  Diabetes mellitus;Total;07 Balears, Illes;2017;280
044  Diabetes mellitus;Total;07 Balears, Illes;2016;241
044  Diabetes mellitus;Total;07 Balears, Illes;2015;307
044  Diabetes mellitus;Total;07 Balears, Illes;2014;234
044  Diabetes mellitus;Total;07 Balears, Illes;2013;227
044  Diabetes mellitus;Total;07 Balears, Illes;2012;213
044  Diabetes mellitus;Total;07 Balears, Illes;2011;199
044  Diabetes mellitus;Total;07 Balears, Illes;2010;176
044  Diabetes mellitus;Total;07 Balears, Illes;2009;182
044  Diabetes mellitus;Total;07 Balears, Illes;2008;201
044  Diabetes mellitus;Total;07 Balears, Illes;2007;198
044  Diabetes mellitus;Total;07 Balears, Illes;2006;185
044  Diabetes mellitus;Total;07 Balears, Illes;2005;182
044  Diabetes mellitus;Total;07 Balears, Illes;2004;200
044  Diabetes mellitus;Total;07 Balears, Illes;2003;212
044  Diabetes mellitus;Total;07 Balears, Illes;2002;155
044  Diabetes mellitus;Total;07 Balears, Illes;2001;176
044  Diabetes mellitus;Total;07 Balears, Illes;2000;180
044  Diabetes mellitus;Total;07 Balears, Illes;1999;173
044  Diabetes mellitus;Total;07 Balears, Illes;1998;170
044  Diabetes mellitus;Total;07 Balears, Illes;1997;172
044  Diabetes mellitus;Total;07 Balears, Illes;1996;132
044  Diabetes mellitus;Total;07 Balears, Illes;1995;178
044  Diabetes mellitus;Total;07 Balears, Illes;1994;177
044  Diabetes mellitus;Total;07 Balears, Illes;1993;167
044  Diabetes mellitus;Total;07 Balears, Illes;1992;148
044  Diabetes mellitus;Total;07 Balears, Illes;1991;140
044  Diabetes mellitus;Total;07 Balears, Illes;1990;149
044  Diabetes mellitus;Total;07 Balears, Illes;1989;165
044  Diabetes mellitus;Total;07 Balears, Illes;1988;141
044  Diabetes mellitus;Total;07 Balears, Illes;1987;165
044  Diabetes mellitus;Total;07 Balears, Illes;1986;182
044  Diabetes mellitus;Total;07 Balears, Illes;1985;222
044  Diabetes mellitus;Total;07 Balears, Illes;1984;163
044  Diabetes mellitus;Total;07 Balears, Illes;1983;178
044  Diabetes mellitus;Total;07 Balears, Illes;1982;140
044  Diabetes mellitus;Total;07 Balears, Illes;1981;145
044  Diabetes mellitus;Total;07 Balears, Illes;1980;143
044  Diabetes mellitus;Total;08 Barcelona;2022;1.177
044  Diabetes mellitus;Total;08 Barcelona;2021;1.158
044  Diabetes mellitus;Total;08 Barcelona;2020;1.256
044  Diabetes mellitus;Total;08 Barcelona;2019;1.105
044  Diabetes mellitus;Total;08 Barcelona;2018;1.156
044  Diabetes mellitus;Total;08 Barcelona;2017;1.192
044  Diabetes mellitus;Total;08 Barcelona;2016;1.061
044  Diabetes mellitus;Total;08 Barcelona;2015;783
044  Diabetes mellitus;Total;08 Barcelona;2014;785
044  Diabetes mellitus;Total;08 Barcelona;2013;915
044  Diabetes mellitus;Total;08 Barcelona;2012;939
044  Diabetes mellitus;Total;08 Barcelona;2011;1.065
044  Diabetes mellitus;Total;08 Barcelona;2010;1.180
044  Diabetes mellitus;Total;08 Barcelona;2009;1.226
044  Diabetes mellitus;Total;08 Barcelona;2008;1.236
044  Diabetes mellitus;Total;08 Barcelona;2007;1.182
044  Diabetes mellitus;Total;08 Barcelona;2006;1.022
044  Diabetes mellitus;Total;08 Barcelona;2005;1.207
044  Diabetes mellitus;Total;08 Barcelona;2004;1.159
044  Diabetes mellitus;Total;08 Barcelona;2003;1.200
044  Diabetes mellitus;Total;08 Barcelona;2002;1.051
044  Diabetes mellitus;Total;08 Barcelona;2001;1.048
044  Diabetes mellitus;Total;08 Barcelona;2000;1.004
044  Diabetes mellitus;Total;08 Barcelona;1999;1.025
044  Diabetes mellitus;Total;08 Barcelona;1998;1.026
044  Diabetes mellitus;Total;08 Barcelona;1997;1.021
044  Diabetes mellitus;Total;08 Barcelona;1996;886
044  Diabetes mellitus;Total;08 Barcelona;1995;890
044  Diabetes mellitus;Total;08 Barcelona;1994;896
044  Diabetes mellitus;Total;08 Barcelona;1993;900
044  Diabetes mellitus;Total;08 Barcelona;1992;867
