Causa de muerte;Sexo;Provincias;Periodo;Total
044  Diabetes mellitus;Total;43 Tarragona;2000;133
044  Diabetes mellitus;Total;43 Tarragona;1999;160
044  Diabetes mellitus;Total;43 Tarragona;1998;133
044  Diabetes mellitus;Total;43 Tarragona;1997;147
044  Diabetes mellitus;Total;43 Tarragona;1996;113
044  Diabetes mellitus;Total;43 Tarragona;1995;135
044  Diabetes mellitus;Total;43 Tarragona;1994;130
044  Diabetes mellitus;Total;43 Tarragona;1993;125
044  Diabetes mellitus;Total;43 Tarragona;1992;125
044  Diabetes mellitus;Total;43 Tarragona;1991;121
044  Diabetes mellitus;Total;43 Tarragona;1990;145
044  Diabetes mellitus;Total;43 Tarragona;1989;158
044  Diabetes mellitus;Total;43 Tarragona;1988;140
044  Diabetes mellitus;Total;43 Tarragona;1987;121
044  Diabetes mellitus;Total;43 Tarragona;1986;115
044  Diabetes mellitus;Total;43 Tarragona;1985;161
044  Diabetes mellitus;Total;43 Tarragona;1984;139
044  Diabetes mellitus;Total;43 Tarragona;1983;126
044  Diabetes mellitus;Total;43 Tarragona;1982;99
044  Diabetes mellitus;Total;43 Tarragona;1981;129
044  Diabetes mellitus;Total;43 Tarragona;1980;103
044  Diabetes mellitus;Total;44 Teruel;2022;40
044  Diabetes mellitus;Total;44 Teruel;2021;56
044  Diabetes mellitus;Total;44 Teruel;2020;47
044  Diabetes mellitus;Total;44 Teruel;2019;62
044  Diabetes mellitus;Total;44 Teruel;2018;36
044  Diabetes mellitus;Total;44 Teruel;2017;47
044  Diabetes mellitus;Total;44 Teruel;2016;38
044  Diabetes mellitus;Total;44 Teruel;2015;48
044  Diabetes mellitus;Total;44 Teruel;2014;47
044  Diabetes mellitus;Total;44 Teruel;2013;60
044  Diabetes mellitus;Total;44 Teruel;2012;53
044  Diabetes mellitus;Total;44 Teruel;2011;56
044  Diabetes mellitus;Total;44 Teruel;2010;39
044  Diabetes mellitus;Total;44 Teruel;2009;53
044  Diabetes mellitus;Total;44 Teruel;2008;44
044  Diabetes mellitus;Total;44 Teruel;2007;41
044  Diabetes mellitus;Total;44 Teruel;2006;40
044  Diabetes mellitus;Total;44 Teruel;2005;45
044  Diabetes mellitus;Total;44 Teruel;2004;35
044  Diabetes mellitus;Total;44 Teruel;2003;46
044  Diabetes mellitus;Total;44 Teruel;2002;45
044  Diabetes mellitus;Total;44 Teruel;2001;33
044  Diabetes mellitus;Total;44 Teruel;2000;35
044  Diabetes mellitus;Total;44 Teruel;1999;46
044  Diabetes mellitus;Total;44 Teruel;1998;41
044  Diabetes mellitus;Total;44 Teruel;1997;30
044  Diabetes mellitus;Total;44 Teruel;1996;31
044  Diabetes mellitus;Total;44 Teruel;1995;44
044  Diabetes mellitus;Total;44 Teruel;1994;53
044  Diabetes mellitus;Total;44 Teruel;1993;39
044  Diabetes mellitus;Total;44 Teruel;1992;26
044  Diabetes mellitus;Total;44 Teruel;1991;34
044  Diabetes mellitus;Total;44 Teruel;1990;41
044  Diabetes mellitus;Total;44 Teruel;1989;27
044  Diabetes mellitus;Total;44 Teruel;1988;38
044  Diabetes mellitus;Total;44 Teruel;1987;30
044  Diabetes mellitus;Total;44 Teruel;1986;39
044  Diabetes mellitus;Total;44 Teruel;1985;39
044  Diabetes mellitus;Total;44 Teruel;1984;29
044  Diabetes mellitus;Total;44 Teruel;1983;36
044  Diabetes mellitus;Total;44 Teruel;1982;27
044  Diabetes mellitus;Total;44 Teruel;1981;32
044  Diabetes mellitus;Total;44 Teruel;1980;29
044  Diabetes mellitus;Total;45 Toledo;2022;138
044  Diabetes mellitus;Total;45 Toledo;2021;148
044  Diabetes mellitus;Total;45 Toledo;2020;179
044  Diabetes mellitus;Total;45 Toledo;2019;148
044  Diabetes mellitus;Total;45 Toledo;2018;157
044  Diabetes mellitus;Total;45 Toledo;2017;193
044  Diabetes mellitus;Total;45 Toledo;2016;156
044  Diabetes mellitus;Total;45 Toledo;2015;167
044  Diabetes mellitus;Total;45 Toledo;2014;136
044  Diabetes mellitus;Total;45 Toledo;2013;191
044  Diabetes mellitus;Total;45 Toledo;2012;174
044  Diabetes mellitus;Total;45 Toledo;2011;175
044  Diabetes mellitus;Total;45 Toledo;2010;178
044  Diabetes mellitus;Total;45 Toledo;2009;163
044  Diabetes mellitus;Total;45 Toledo;2008;178
044  Diabetes mellitus;Total;45 Toledo;2007;189
044  Diabetes mellitus;Total;45 Toledo;2006;154
044  Diabetes mellitus;Total;45 Toledo;2005;165
044  Diabetes mellitus;Total;45 Toledo;2004;157
044  Diabetes mellitus;Total;45 Toledo;2003;163
044  Diabetes mellitus;Total;45 Toledo;2002;168
044  Diabetes mellitus;Total;45 Toledo;2001;186
044  Diabetes mellitus;Total;45 Toledo;2000;133
044  Diabetes mellitus;Total;45 Toledo;1999;186
044  Diabetes mellitus;Total;45 Toledo;1998;193
044  Diabetes mellitus;Total;45 Toledo;1997;152
044  Diabetes mellitus;Total;45 Toledo;1996;164
044  Diabetes mellitus;Total;45 Toledo;1995;161
044  Diabetes mellitus;Total;45 Toledo;1994;137
044  Diabetes mellitus;Total;45 Toledo;1993;129
044  Diabetes mellitus;Total;45 Toledo;1992;128
044  Diabetes mellitus;Total;45 Toledo;1991;118
044  Diabetes mellitus;Total;45 Toledo;1990;98
044  Diabetes mellitus;Total;45 Toledo;1989;124
044  Diabetes mellitus;Total;45 Toledo;1988;113
044  Diabetes mellitus;Total;45 Toledo;1987;110
044  Diabetes mellitus;Total;45 Toledo;1986;101
044  Diabetes mellitus;Total;45 Toledo;1985;109
044  Diabetes mellitus;Total;45 Toledo;1984;121
044  Diabetes mellitus;Total;45 Toledo;1983;91
044  Diabetes mellitus;Total;45 Toledo;1982;82
044  Diabetes mellitus;Total;45 Toledo;1981;89
044  Diabetes mellitus;Total;45 Toledo;1980;86
044  Diabetes mellitus;Total;46 Valencia/València;2022;831
044  Diabetes mellitus;Total;46 Valencia/València;2021;841
044  Diabetes mellitus;Total;46 Valencia/València;2020;876
044  Diabetes mellitus;Total;46 Valencia/València;2019;814
044  Diabetes mellitus;Total;46 Valencia/València;2018;795
044  Diabetes mellitus;Total;46 Valencia/València;2017;592
044  Diabetes mellitus;Total;46 Valencia/València;2016;553
044  Diabetes mellitus;Total;46 Valencia/València;2015;543
044  Diabetes mellitus;Total;46 Valencia/València;2014;537
044  Diabetes mellitus;Total;46 Valencia/València;2013;549
044  Diabetes mellitus;Total;46 Valencia/València;2012;559
044  Diabetes mellitus;Total;46 Valencia/València;2011;570
044  Diabetes mellitus;Total;46 Valencia/València;2010;499
044  Diabetes mellitus;Total;46 Valencia/València;2009;673
044  Diabetes mellitus;Total;46 Valencia/València;2008;629
044  Diabetes mellitus;Total;46 Valencia/València;2007;652
044  Diabetes mellitus;Total;46 Valencia/València;2006;641
044  Diabetes mellitus;Total;46 Valencia/València;2005;690
044  Diabetes mellitus;Total;46 Valencia/València;2004;678
044  Diabetes mellitus;Total;46 Valencia/València;2003;658
044  Diabetes mellitus;Total;46 Valencia/València;2002;632
044  Diabetes mellitus;Total;46 Valencia/València;2001;608
044  Diabetes mellitus;Total;46 Valencia/València;2000;583
044  Diabetes mellitus;Total;46 Valencia/València;1999;600
044  Diabetes mellitus;Total;46 Valencia/València;1998;630
044  Diabetes mellitus;Total;46 Valencia/València;1997;572
044  Diabetes mellitus;Total;46 Valencia/València;1996;611
044  Diabetes mellitus;Total;46 Valencia/València;1995;647
044  Diabetes mellitus;Total;46 Valencia/València;1994;642
044  Diabetes mellitus;Total;46 Valencia/València;1993;591
044  Diabetes mellitus;Total;46 Valencia/València;1992;611
044  Diabetes mellitus;Total;46 Valencia/València;1991;583
044  Diabetes mellitus;Total;46 Valencia/València;1990;605
044  Diabetes mellitus;Total;46 Valencia/València;1989;597
044  Diabetes mellitus;Total;46 Valencia/València;1988;580
044  Diabetes mellitus;Total;46 Valencia/València;1987;584
044  Diabetes mellitus;Total;46 Valencia/València;1986;534
044  Diabetes mellitus;Total;46 Valencia/València;1985;462
044  Diabetes mellitus;Total;46 Valencia/València;1984;506
044  Diabetes mellitus;Total;46 Valencia/València;1983;494
044  Diabetes mellitus;Total;46 Valencia/València;1982;495
044  Diabetes mellitus;Total;46 Valencia/València;1981;426
044  Diabetes mellitus;Total;46 Valencia/València;1980;469
044  Diabetes mellitus;Total;47 Valladolid;2022;178
044  Diabetes mellitus;Total;47 Valladolid;2021;183
044  Diabetes mellitus;Total;47 Valladolid;2020;153
044  Diabetes mellitus;Total;47 Valladolid;2019;140
044  Diabetes mellitus;Total;47 Valladolid;2018;122
044  Diabetes mellitus;Total;47 Valladolid;2017;132
044  Diabetes mellitus;Total;47 Valladolid;2016;130
044  Diabetes mellitus;Total;47 Valladolid;2015;121
044  Diabetes mellitus;Total;47 Valladolid;2014;133
044  Diabetes mellitus;Total;47 Valladolid;2013;118
044  Diabetes mellitus;Total;47 Valladolid;2012;143
044  Diabetes mellitus;Total;47 Valladolid;2011;128
044  Diabetes mellitus;Total;47 Valladolid;2010;106
044  Diabetes mellitus;Total;47 Valladolid;2009;112
044  Diabetes mellitus;Total;47 Valladolid;2008;128
044  Diabetes mellitus;Total;47 Valladolid;2007;120
044  Diabetes mellitus;Total;47 Valladolid;2006;112
044  Diabetes mellitus;Total;47 Valladolid;2005;122
044  Diabetes mellitus;Total;47 Valladolid;2004;143
044  Diabetes mellitus;Total;47 Valladolid;2003;113
044  Diabetes mellitus;Total;47 Valladolid;2002;115
044  Diabetes mellitus;Total;47 Valladolid;2001;119
044  Diabetes mellitus;Total;47 Valladolid;2000;123
044  Diabetes mellitus;Total;47 Valladolid;1999;125
044  Diabetes mellitus;Total;47 Valladolid;1998;143
044  Diabetes mellitus;Total;47 Valladolid;1997;105
044  Diabetes mellitus;Total;47 Valladolid;1996;128
044  Diabetes mellitus;Total;47 Valladolid;1995;106
044  Diabetes mellitus;Total;47 Valladolid;1994;118
044  Diabetes mellitus;Total;47 Valladolid;1993;133
044  Diabetes mellitus;Total;47 Valladolid;1992;117
044  Diabetes mellitus;Total;47 Valladolid;1991;92
044  Diabetes mellitus;Total;47 Valladolid;1990;79
044  Diabetes mellitus;Total;47 Valladolid;1989;101
044  Diabetes mellitus;Total;47 Valladolid;1988;113
044  Diabetes mellitus;Total;47 Valladolid;1987;88
044  Diabetes mellitus;Total;47 Valladolid;1986;69
044  Diabetes mellitus;Total;47 Valladolid;1985;77
044  Diabetes mellitus;Total;47 Valladolid;1984;79
044  Diabetes mellitus;Total;47 Valladolid;1983;82
044  Diabetes mellitus;Total;47 Valladolid;1982;48
044  Diabetes mellitus;Total;47 Valladolid;1981;65
044  Diabetes mellitus;Total;47 Valladolid;1980;69
044  Diabetes mellitus;Total;49 Zamora;2022;116
044  Diabetes mellitus;Total;49 Zamora;2021;112
044  Diabetes mellitus;Total;49 Zamora;2020;130
044  Diabetes mellitus;Total;49 Zamora;2019;87
044  Diabetes mellitus;Total;49 Zamora;2018;98
044  Diabetes mellitus;Total;49 Zamora;2017;81
044  Diabetes mellitus;Total;49 Zamora;2016;93
044  Diabetes mellitus;Total;49 Zamora;2015;98
044  Diabetes mellitus;Total;49 Zamora;2014;104
044  Diabetes mellitus;Total;49 Zamora;2013;101
044  Diabetes mellitus;Total;49 Zamora;2012;126
044  Diabetes mellitus;Total;49 Zamora;2011;108
044  Diabetes mellitus;Total;49 Zamora;2010;76
044  Diabetes mellitus;Total;49 Zamora;2009;62
044  Diabetes mellitus;Total;49 Zamora;2008;88
044  Diabetes mellitus;Total;49 Zamora;2007;67
044  Diabetes mellitus;Total;49 Zamora;2006;87
044  Diabetes mellitus;Total;49 Zamora;2005;96
044  Diabetes mellitus;Total;49 Zamora;2004;73
044  Diabetes mellitus;Total;49 Zamora;2003;83
044  Diabetes mellitus;Total;49 Zamora;2002;86
044  Diabetes mellitus;Total;49 Zamora;2001;70
044  Diabetes mellitus;Total;49 Zamora;2000;69
044  Diabetes mellitus;Total;49 Zamora;1999;69
044  Diabetes mellitus;Total;49 Zamora;1998;61
044  Diabetes mellitus;Total;49 Zamora;1997;48
044  Diabetes mellitus;Total;49 Zamora;1996;69
044  Diabetes mellitus;Total;49 Zamora;1995;58
044  Diabetes mellitus;Total;49 Zamora;1994;60
044  Diabetes mellitus;Total;49 Zamora;1993;69
044  Diabetes mellitus;Total;49 Zamora;1992;62
044  Diabetes mellitus;Total;49 Zamora;1991;69
044  Diabetes mellitus;Total;49 Zamora;1990;69
044  Diabetes mellitus;Total;49 Zamora;1989;50
044  Diabetes mellitus;Total;49 Zamora;1988;57
044  Diabetes mellitus;Total;49 Zamora;1987;42
044  Diabetes mellitus;Total;49 Zamora;1986;49
044  Diabetes mellitus;Total;49 Zamora;1985;54
044  Diabetes mellitus;Total;49 Zamora;1984;42
044  Diabetes mellitus;Total;49 Zamora;1983;50
044  Diabetes mellitus;Total;49 Zamora;1982;46
044  Diabetes mellitus;Total;49 Zamora;1981;36
044  Diabetes mellitus;Total;49 Zamora;1980;33
044  Diabetes mellitus;Total;50 Zaragoza;2022;261
044  Diabetes mellitus;Total;50 Zaragoza;2021;286
044  Diabetes mellitus;Total;50 Zaragoza;2020;288
044  Diabetes mellitus;Total;50 Zaragoza;2019;269
044  Diabetes mellitus;Total;50 Zaragoza;2018;273
044  Diabetes mellitus;Total;50 Zaragoza;2017;317
044  Diabetes mellitus;Total;50 Zaragoza;2016;165
044  Diabetes mellitus;Total;50 Zaragoza;2015;307
044  Diabetes mellitus;Total;50 Zaragoza;2014;306
044  Diabetes mellitus;Total;50 Zaragoza;2013;239
044  Diabetes mellitus;Total;50 Zaragoza;2012;259
044  Diabetes mellitus;Total;50 Zaragoza;2011;275
044  Diabetes mellitus;Total;50 Zaragoza;2010;214
044  Diabetes mellitus;Total;50 Zaragoza;2009;299
044  Diabetes mellitus;Total;50 Zaragoza;2008;270
044  Diabetes mellitus;Total;50 Zaragoza;2007;260
044  Diabetes mellitus;Total;50 Zaragoza;2006;239
044  Diabetes mellitus;Total;50 Zaragoza;2005;218
044  Diabetes mellitus;Total;50 Zaragoza;2004;228
044  Diabetes mellitus;Total;50 Zaragoza;2003;217
044  Diabetes mellitus;Total;50 Zaragoza;2002;236
044  Diabetes mellitus;Total;50 Zaragoza;2001;209
044  Diabetes mellitus;Total;50 Zaragoza;2000;225
044  Diabetes mellitus;Total;50 Zaragoza;1999;246
044  Diabetes mellitus;Total;50 Zaragoza;1998;219
044  Diabetes mellitus;Total;50 Zaragoza;1997;223
044  Diabetes mellitus;Total;50 Zaragoza;1996;202
044  Diabetes mellitus;Total;50 Zaragoza;1995;225
044  Diabetes mellitus;Total;50 Zaragoza;1994;230
044  Diabetes mellitus;Total;50 Zaragoza;1993;228
044  Diabetes mellitus;Total;50 Zaragoza;1992;219
044  Diabetes mellitus;Total;50 Zaragoza;1991;231
044  Diabetes mellitus;Total;50 Zaragoza;1990;179
044  Diabetes mellitus;Total;50 Zaragoza;1989;231
044  Diabetes mellitus;Total;50 Zaragoza;1988;213
044  Diabetes mellitus;Total;50 Zaragoza;1987;194
044  Diabetes mellitus;Total;50 Zaragoza;1986;191
044  Diabetes mellitus;Total;50 Zaragoza;1985;242
044  Diabetes mellitus;Total;50 Zaragoza;1984;219
044  Diabetes mellitus;Total;50 Zaragoza;1983;207
044  Diabetes mellitus;Total;50 Zaragoza;1982;164
044  Diabetes mellitus;Total;50 Zaragoza;1981;182
044  Diabetes mellitus;Total;50 Zaragoza;1980;183
044  Diabetes mellitus;Total;51 Ceuta;2022;18
044  Diabetes mellitus;Total;51 Ceuta;2021;28
044  Diabetes mellitus;Total;51 Ceuta;2020;27
044  Diabetes mellitus;Total;51 Ceuta;2019;11
044  Diabetes mellitus;Total;51 Ceuta;2018;16
044  Diabetes mellitus;Total;51 Ceuta;2017;18
044  Diabetes mellitus;Total;51 Ceuta;2016;25
044  Diabetes mellitus;Total;51 Ceuta;2015;18
044  Diabetes mellitus;Total;51 Ceuta;2014;13
044  Diabetes mellitus;Total;51 Ceuta;2013;22
044  Diabetes mellitus;Total;51 Ceuta;2012;31
044  Diabetes mellitus;Total;51 Ceuta;2011;23
044  Diabetes mellitus;Total;51 Ceuta;2010;19
044  Diabetes mellitus;Total;51 Ceuta;2009;20
044  Diabetes mellitus;Total;51 Ceuta;2008;20
044  Diabetes mellitus;Total;51 Ceuta;2007;20
044  Diabetes mellitus;Total;51 Ceuta;2006;20
044  Diabetes mellitus;Total;51 Ceuta;2005;29
044  Diabetes mellitus;Total;51 Ceuta;2004;24
044  Diabetes mellitus;Total;51 Ceuta;2003;20
044  Diabetes mellitus;Total;51 Ceuta;2002;20
044  Diabetes mellitus;Total;51 Ceuta;2001;20
044  Diabetes mellitus;Total;51 Ceuta;2000;22
044  Diabetes mellitus;Total;51 Ceuta;1999;16
044  Diabetes mellitus;Total;51 Ceuta;1998;15
044  Diabetes mellitus;Total;51 Ceuta;1997;22
044  Diabetes mellitus;Total;51 Ceuta;1996;23
044  Diabetes mellitus;Total;51 Ceuta;1995;10
044  Diabetes mellitus;Total;51 Ceuta;1994;19
044  Diabetes mellitus;Total;51 Ceuta;1993;15
044  Diabetes mellitus;Total;51 Ceuta;1992;19
044  Diabetes mellitus;Total;51 Ceuta;1991;18
044  Diabetes mellitus;Total;51 Ceuta;1990;12
044  Diabetes mellitus;Total;51 Ceuta;1989;14
044  Diabetes mellitus;Total;51 Ceuta;1988;10
044  Diabetes mellitus;Total;51 Ceuta;1987;14
044  Diabetes mellitus;Total;51 Ceuta;1986;17
044  Diabetes mellitus;Total;51 Ceuta;1985;26
044  Diabetes mellitus;Total;51 Ceuta;1984;24
044  Diabetes mellitus;Total;51 Ceuta;1983;20
044  Diabetes mellitus;Total;51 Ceuta;1982;16
044  Diabetes mellitus;Total;51 Ceuta;1981;21
044  Diabetes mellitus;Total;51 Ceuta;1980;26
044  Diabetes mellitus;Total;52 Melilla;2022;9
044  Diabetes mellitus;Total;52 Melilla;2021;20
044  Diabetes mellitus;Total;52 Melilla;2020;27
044  Diabetes mellitus;Total;52 Melilla;2019;17
044  Diabetes mellitus;Total;52 Melilla;2018;26
044  Diabetes mellitus;Total;52 Melilla;2017;21
044  Diabetes mellitus;Total;52 Melilla;2016;19
044  Diabetes mellitus;Total;52 Melilla;2015;23
044  Diabetes mellitus;Total;52 Melilla;2014;15
044  Diabetes mellitus;Total;52 Melilla;2013;26
044  Diabetes mellitus;Total;52 Melilla;2012;17
044  Diabetes mellitus;Total;52 Melilla;2011;17
044  Diabetes mellitus;Total;52 Melilla;2010;22
044  Diabetes mellitus;Total;52 Melilla;2009;18
044  Diabetes mellitus;Total;52 Melilla;2008;11
044  Diabetes mellitus;Total;52 Melilla;2007;16
044  Diabetes mellitus;Total;52 Melilla;2006;24
044  Diabetes mellitus;Total;52 Melilla;2005;18
044  Diabetes mellitus;Total;52 Melilla;2004;27
044  Diabetes mellitus;Total;52 Melilla;2003;22
044  Diabetes mellitus;Total;52 Melilla;2002;21
044  Diabetes mellitus;Total;52 Melilla;2001;14
044  Diabetes mellitus;Total;52 Melilla;2000;10
044  Diabetes mellitus;Total;52 Melilla;1999;16
044  Diabetes mellitus;Total;52 Melilla;1998;23
044  Diabetes mellitus;Total;52 Melilla;1997;12
044  Diabetes mellitus;Total;52 Melilla;1996;15
044  Diabetes mellitus;Total;52 Melilla;1995;16
044  Diabetes mellitus;Total;52 Melilla;1994;25
044  Diabetes mellitus;Total;52 Melilla;1993;19
044  Diabetes mellitus;Total;52 Melilla;1992;15
044  Diabetes mellitus;Total;52 Melilla;1991;13
044  Diabetes mellitus;Total;52 Melilla;1990;18
044  Diabetes mellitus;Total;52 Melilla;1989;17
044  Diabetes mellitus;Total;52 Melilla;1988;6
044  Diabetes mellitus;Total;52 Melilla;1987;12
044  Diabetes mellitus;Total;52 Melilla;1986;9
044  Diabetes mellitus;Total;52 Melilla;1985;9
044  Diabetes mellitus;Total;52 Melilla;1984;6
044  Diabetes mellitus;Total;52 Melilla;1983;12
044  Diabetes mellitus;Total;52 Melilla;1982;8
044  Diabetes mellitus;Total;52 Melilla;1981;8
044  Diabetes mellitus;Total;52 Melilla;1980;11
044  Diabetes mellitus;Total;Extranjero;2022;24
044  Diabetes mellitus;Total;Extranjero;2021;7
044  Diabetes mellitus;Total;Extranjero;2020;8
044  Diabetes mellitus;Total;Extranjero;2019;20
044  Diabetes mellitus;Total;Extranjero;2018;35
044  Diabetes mellitus;Total;Extranjero;2017;20
044  Diabetes mellitus;Total;Extranjero;2016;19
044  Diabetes mellitus;Total;Extranjero;2015;21
044  Diabetes mellitus;Total;Extranjero;2014;26
044  Diabetes mellitus;Total;Extranjero;2013;8
044  Diabetes mellitus;Total;Extranjero;2012;22
044  Diabetes mellitus;Total;Extranjero;2011;22
044  Diabetes mellitus;Total;Extranjero;2010;35
044  Diabetes mellitus;Total;Extranjero;2009;28
044  Diabetes mellitus;Total;Extranjero;2008;22
044  Diabetes mellitus;Total;Extranjero;2007;22
044  Diabetes mellitus;Total;Extranjero;2006;15
044  Diabetes mellitus;Total;Extranjero;2005;27
044  Diabetes mellitus;Total;Extranjero;2004;20
044  Diabetes mellitus;Total;Extranjero;2003;19
044  Diabetes mellitus;Total;Extranjero;2002;26
044  Diabetes mellitus;Total;Extranjero;2001;26
044  Diabetes mellitus;Total;Extranjero;2000;21
044  Diabetes mellitus;Total;Extranjero;1999;26
044  Diabetes mellitus;Total;Extranjero;1998;24
044  Diabetes mellitus;Total;Extranjero;1997;25
044  Diabetes mellitus;Total;Extranjero;1996;15
044  Diabetes mellitus;Total;Extranjero;1995;18
044  Diabetes mellitus;Total;Extranjero;1994;20
044  Diabetes mellitus;Total;Extranjero;1993;14
044  Diabetes mellitus;Total;Extranjero;1992;14
044  Diabetes mellitus;Total;Extranjero;1991;15
044  Diabetes mellitus;Total;Extranjero;1990;11
044  Diabetes mellitus;Total;Extranjero;1989;14
044  Diabetes mellitus;Total;Extranjero;1988;20
044  Diabetes mellitus;Total;Extranjero;1987;19
044  Diabetes mellitus;Total;Extranjero;1986;17
044  Diabetes mellitus;Total;Extranjero;1985;8
044  Diabetes mellitus;Total;Extranjero;1984;11
044  Diabetes mellitus;Total;Extranjero;1983;10
044  Diabetes mellitus;Total;Extranjero;1982;17
044  Diabetes mellitus;Total;Extranjero;1981;10
044  Diabetes mellitus;Total;Extranjero;1980;11
044  Diabetes mellitus;Hombres;Nacional;2022;5.016
044  Diabetes mellitus;Hombres;Nacional;2021;4.848
044  Diabetes mellitus;Hombres;Nacional;2020;5.084
044  Diabetes mellitus;Hombres;Nacional;2019;4.329
044  Diabetes mellitus;Hombres;Nacional;2018;4.407
044  Diabetes mellitus;Hombres;Nacional;2017;4.293
044  Diabetes mellitus;Hombres;Nacional;2016;4.090
044  Diabetes mellitus;Hombres;Nacional;2015;4.421
044  Diabetes mellitus;Hombres;Nacional;2014;4.100
044  Diabetes mellitus;Hombres;Nacional;2013;3.985
044  Diabetes mellitus;Hombres;Nacional;2012;4.207
044  Diabetes mellitus;Hombres;Nacional;2011;4.153
044  Diabetes mellitus;Hombres;Nacional;2010;4.108
044  Diabetes mellitus;Hombres;Nacional;2009;4.174
044  Diabetes mellitus;Hombres;Nacional;2008;4.193
044  Diabetes mellitus;Hombres;Nacional;2007;4.204
044  Diabetes mellitus;Hombres;Nacional;2006;3.818
044  Diabetes mellitus;Hombres;Nacional;2005;4.105
044  Diabetes mellitus;Hombres;Nacional;2004;3.924
044  Diabetes mellitus;Hombres;Nacional;2003;4.007
044  Diabetes mellitus;Hombres;Nacional;2002;3.765
044  Diabetes mellitus;Hombres;Nacional;2001;3.739
044  Diabetes mellitus;Hombres;Nacional;2000;3.558
044  Diabetes mellitus;Hombres;Nacional;1999;3.733
044  Diabetes mellitus;Hombres;Nacional;1998;3.627
044  Diabetes mellitus;Hombres;Nacional;1997;3.305
044  Diabetes mellitus;Hombres;Nacional;1996;3.279
044  Diabetes mellitus;Hombres;Nacional;1995;3.316
044  Diabetes mellitus;Hombres;Nacional;1994;3.165
044  Diabetes mellitus;Hombres;Nacional;1993;3.169
044  Diabetes mellitus;Hombres;Nacional;1992;3.003
044  Diabetes mellitus;Hombres;Nacional;1991;3.189
044  Diabetes mellitus;Hombres;Nacional;1990;3.160
044  Diabetes mellitus;Hombres;Nacional;1989;3.080
044  Diabetes mellitus;Hombres;Nacional;1988;3.015
044  Diabetes mellitus;Hombres;Nacional;1987;3.060
044  Diabetes mellitus;Hombres;Nacional;1986;2.915
044  Diabetes mellitus;Hombres;Nacional;1985;2.868
044  Diabetes mellitus;Hombres;Nacional;1984;3.004
044  Diabetes mellitus;Hombres;Nacional;1983;2.714
044  Diabetes mellitus;Hombres;Nacional;1982;2.535
044  Diabetes mellitus;Hombres;Nacional;1981;2.491
044  Diabetes mellitus;Hombres;Nacional;1980;2.382
044  Diabetes mellitus;Hombres;02 Albacete;2022;35
044  Diabetes mellitus;Hombres;02 Albacete;2021;33
044  Diabetes mellitus;Hombres;02 Albacete;2020;50
044  Diabetes mellitus;Hombres;02 Albacete;2019;32
044  Diabetes mellitus;Hombres;02 Albacete;2018;33
044  Diabetes mellitus;Hombres;02 Albacete;2017;38
044  Diabetes mellitus;Hombres;02 Albacete;2016;39
044  Diabetes mellitus;Hombres;02 Albacete;2015;48
044  Diabetes mellitus;Hombres;02 Albacete;2014;49
044  Diabetes mellitus;Hombres;02 Albacete;2013;62
044  Diabetes mellitus;Hombres;02 Albacete;2012;54
044  Diabetes mellitus;Hombres;02 Albacete;2011;41
044  Diabetes mellitus;Hombres;02 Albacete;2010;40
044  Diabetes mellitus;Hombres;02 Albacete;2009;42
044  Diabetes mellitus;Hombres;02 Albacete;2008;38
044  Diabetes mellitus;Hombres;02 Albacete;2007;51
044  Diabetes mellitus;Hombres;02 Albacete;2006;39
044  Diabetes mellitus;Hombres;02 Albacete;2005;40
044  Diabetes mellitus;Hombres;02 Albacete;2004;37
044  Diabetes mellitus;Hombres;02 Albacete;2003;41
044  Diabetes mellitus;Hombres;02 Albacete;2002;43
044  Diabetes mellitus;Hombres;02 Albacete;2001;46
044  Diabetes mellitus;Hombres;02 Albacete;2000;39
044  Diabetes mellitus;Hombres;02 Albacete;1999;31
044  Diabetes mellitus;Hombres;02 Albacete;1998;43
044  Diabetes mellitus;Hombres;02 Albacete;1997;31
044  Diabetes mellitus;Hombres;02 Albacete;1996;46
044  Diabetes mellitus;Hombres;02 Albacete;1995;34
044  Diabetes mellitus;Hombres;02 Albacete;1994;31
044  Diabetes mellitus;Hombres;02 Albacete;1993;32
044  Diabetes mellitus;Hombres;02 Albacete;1992;43
044  Diabetes mellitus;Hombres;02 Albacete;1991;36
044  Diabetes mellitus;Hombres;02 Albacete;1990;30
044  Diabetes mellitus;Hombres;02 Albacete;1989;32
044  Diabetes mellitus;Hombres;02 Albacete;1988;28
044  Diabetes mellitus;Hombres;02 Albacete;1987;27
044  Diabetes mellitus;Hombres;02 Albacete;1986;18
044  Diabetes mellitus;Hombres;02 Albacete;1985;28
044  Diabetes mellitus;Hombres;02 Albacete;1984;25
044  Diabetes mellitus;Hombres;02 Albacete;1983;29
044  Diabetes mellitus;Hombres;02 Albacete;1982;30
044  Diabetes mellitus;Hombres;02 Albacete;1981;35
044  Diabetes mellitus;Hombres;02 Albacete;1980;34
044  Diabetes mellitus;Hombres;03 Alicante/Alacant;2022;257
044  Diabetes mellitus;Hombres;03 Alicante/Alacant;2021;237
044  Diabetes mellitus;Hombres;03 Alicante/Alacant;2020;272
044  Diabetes mellitus;Hombres;03 Alicante/Alacant;2019;196
044  Diabetes mellitus;Hombres;03 Alicante/Alacant;2018;158
044  Diabetes mellitus;Hombres;03 Alicante/Alacant;2017;139
