Diagnóstico principal (CIE10MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;;;31.903
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;;4.421
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;04 Almería;425
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;11 Cádiz;879
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;14 Córdoba;362
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;18 Granada;372
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;21 Huelva;222
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;23 Jaén;387
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;29 Málaga;731
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;41 Sevilla;1.043
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;;1.018
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;22 Huesca;164
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;44 Teruel;74
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;50 Zaragoza;780
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;03 Asturias, Principado de;;734
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;04 Balears, Illes;;982
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;;1.300
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;35 Palmas, Las;751
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;549
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;06 Cantabria;;594
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;;1.922
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;05 Ávila;82
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;09 Burgos;194
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;24 León;431
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;34 Palencia;86
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;37 Salamanca;280
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;40 Segovia;58
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;42 Soria;39
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;47 Valladolid;645
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;49 Zamora;107
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;;1.102
