Diagnóstico principal (CIE10MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;;;27.174
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;;3.637
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;04 Almería;357
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;11 Cádiz;564
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;14 Córdoba;302
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;18 Granada;441
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;21 Huelva;239
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;23 Jaén;304
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;29 Málaga;649
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;41 Sevilla;780
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;;877
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;22 Huesca;139
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;44 Teruel;50
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;50 Zaragoza;688
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;03 Asturias, Principado de;;672
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;04 Balears, Illes;;918
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;;1.144
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;35 Palmas, Las;630
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;514
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;06 Cantabria;;391
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;;1.911
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;05 Ávila;90
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;09 Burgos;265
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;24 León;492
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;34 Palencia;94
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;37 Salamanca;333
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;40 Segovia;81
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;42 Soria;50
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;47 Valladolid;378
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;49 Zamora;128
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;;848
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;02 Albacete;190
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;244
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;16 Cuenca;69
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;113
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;45 Toledo;232
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;;5.251
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;08 Barcelona;4.183
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;17 Girona;391
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;25 Lleida;193
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;43 Tarragona;483
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;;3.174
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;1.241
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;347
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;1.586
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;11 Extremadura;;583
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;11 Extremadura;06 Badajoz;404
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;11 Extremadura;10 Cáceres;179
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;;1.538
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;15 Coruña, A;556
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;27 Lugo;210
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;32 Ourense;176
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;36 Pontevedra;596
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;13 Madrid, Comunidad de;;2.962
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;14 Murcia, Región de;;1.024
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;;340
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;;1.407
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;01 Araba/Álava;241
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;48 Bizkaia;659
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;20 Gipuzkoa;507
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;17 Rioja, La;;310
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;18 Ceuta;;84
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;19 Melilla;;103
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;;;16.150
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;;2.223
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;04 Almería;238
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;11 Cádiz;324
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;14 Córdoba;175
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;18 Granada;291
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;21 Huelva;129
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;23 Jaén;187
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;29 Málaga;392
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;41 Sevilla;487
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;;533
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;22 Huesca;88
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;44 Teruel;36
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;50 Zaragoza;409
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;03 Asturias, Principado de;;370
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;04 Balears, Illes;;565
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;;674
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;35 Palmas, Las;371
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;303
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;06 Cantabria;;201
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;;1.121
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;05 Ávila;36
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;09 Burgos;152
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;24 León;342
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;34 Palencia;42
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;37 Salamanca;191
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;40 Segovia;43
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;42 Soria;29
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;47 Valladolid;222
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;49 Zamora;64
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;;505
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;02 Albacete;121
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;126
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;16 Cuenca;49
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;63
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;45 Toledo;146
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;;3.112
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;08 Barcelona;2.494
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;17 Girona;231
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;25 Lleida;116
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;43 Tarragona;271
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;;1.861
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;743
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;212
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;905
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;;366
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;06 Badajoz;262
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;10 Cáceres;104
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;;832
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;15 Coruña, A;299
