Diagnóstico principal (CIE10MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;;;29.074
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;;4.034
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;04 Almería;386
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;11 Cádiz;668
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;14 Córdoba;352
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;18 Granada;399
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;21 Huelva;244
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;23 Jaén;322
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;29 Málaga;797
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;41 Sevilla;865
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;;975
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;22 Huesca;137
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;44 Teruel;79
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;50 Zaragoza;759
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;03 Asturias, Principado de;;682
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;04 Balears, Illes;;927
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;;1.408
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;35 Palmas, Las;850
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;558
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;06 Cantabria;;471
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;;1.879
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;05 Ávila;93
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;09 Burgos;238
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;24 León;413
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;34 Palencia;98
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;37 Salamanca;358
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;40 Segovia;65
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;42 Soria;47
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;47 Valladolid;382
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;49 Zamora;184
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;;1.097
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;02 Albacete;306
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;286
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;16 Cuenca;102
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;138
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;45 Toledo;266
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;;5.330
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;08 Barcelona;4.231
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;17 Girona;459
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;25 Lleida;180
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;43 Tarragona;459
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;;3.374
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;1.362
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;314
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;1.698
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;11 Extremadura;;635
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;11 Extremadura;06 Badajoz;422
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;11 Extremadura;10 Cáceres;213
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;;1.608
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;15 Coruña, A;689
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;27 Lugo;244
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;32 Ourense;158
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;36 Pontevedra;517
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;13 Madrid, Comunidad de;;3.147
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;14 Murcia, Región de;;1.113
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;;407
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;;1.501
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;01 Araba/Álava;258
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;48 Bizkaia;743
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;20 Gipuzkoa;500
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;17 Rioja, La;;327
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;18 Ceuta;;84
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;19 Melilla;;75
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;;;17.638
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;;2.440
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;04 Almería;250
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;11 Cádiz;430
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;14 Córdoba;189
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;18 Granada;233
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;21 Huelva;144
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;23 Jaén;189
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;29 Málaga;486
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;41 Sevilla;520
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;;639
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;22 Huesca;88
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;44 Teruel;57
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;50 Zaragoza;494
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;03 Asturias, Principado de;;364
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;04 Balears, Illes;;625
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;;861
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;35 Palmas, Las;542
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;319
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;06 Cantabria;;295
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;;1.085
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;05 Ávila;42
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;09 Burgos;149
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;24 León;255
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;34 Palencia;49
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;37 Salamanca;189
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;40 Segovia;42
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;42 Soria;26
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;47 Valladolid;243
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;49 Zamora;90
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;;659
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;02 Albacete;205
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;164
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;16 Cuenca;58
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;86
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;45 Toledo;146
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;;3.239
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;08 Barcelona;2.568
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;17 Girona;287
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;25 Lleida;117
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;43 Tarragona;267
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;;2.059
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;847
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;192
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;1.020
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;;346
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;06 Badajoz;236
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;10 Cáceres;110
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;;905
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;15 Coruña, A;414
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;27 Lugo;140
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;32 Ourense;87
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;36 Pontevedra;264
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;13 Madrid, Comunidad de;;1.904
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;14 Murcia, Región de;;729
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;15 Navarra, Comunidad Foral de;;251
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;;951
