Diagnóstico principal (CIE10MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;01 Araba/Álava;169
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;48 Bizkaia;472
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;20 Gipuzkoa;310
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;17 Rioja, La;;193
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;18 Ceuta;;48
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;19 Melilla;;45
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;;;11.436
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;;1.594
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;04 Almería;136
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;11 Cádiz;238
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;14 Córdoba;163
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;18 Granada;166
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;21 Huelva;100
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;23 Jaén;133
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;29 Málaga;311
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;41 Sevilla;345
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;02 Aragón;;336
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;02 Aragón;22 Huesca;49
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;02 Aragón;44 Teruel;22
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;02 Aragón;50 Zaragoza;265
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;03 Asturias, Principado de;;319
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;04 Balears, Illes;;302
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;05 Canarias;;546
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;05 Canarias;35 Palmas, Las;308
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;239
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;06 Cantabria;;176
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;;793
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;05 Ávila;51
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;09 Burgos;89
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;24 León;158
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;34 Palencia;49
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;37 Salamanca;169
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;40 Segovia;23
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;42 Soria;21
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;47 Valladolid;139
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;07 Castilla y León;49 Zamora;94
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;;438
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;02 Albacete;101
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;122
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;16 Cuenca;44
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;52
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;08 Castilla - La Mancha;45 Toledo;119
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;09 Cataluña;;2.091
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;09 Cataluña;08 Barcelona;1.664
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;09 Cataluña;17 Girona;171
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;09 Cataluña;25 Lleida;63
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;09 Cataluña;43 Tarragona;193
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;10 Comunitat Valenciana;;1.315
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;515
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;122
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;678
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;11 Extremadura;;289
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;11 Extremadura;06 Badajoz;186
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;11 Extremadura;10 Cáceres;103
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;12 Galicia;;703
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;12 Galicia;15 Coruña, A;275
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;12 Galicia;27 Lugo;104
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;12 Galicia;32 Ourense;71
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;12 Galicia;36 Pontevedra;253
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;13 Madrid, Comunidad de;;1.244
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;14 Murcia, Región de;;385
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;;156
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;16 País Vasco;;550
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;16 País Vasco;01 Araba/Álava;89
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;16 País Vasco;48 Bizkaia;271
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;16 País Vasco;20 Gipuzkoa;190
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;17 Rioja, La;;134
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;18 Ceuta;;36
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;19 Melilla;;30
