Diagnóstico principal (CIE10MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;;;28.821
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;;4.096
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;04 Almería;385
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;11 Cádiz;798
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;14 Córdoba;295
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;18 Granada;343
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;21 Huelva;246
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;23 Jaén;317
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;29 Málaga;711
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;41 Sevilla;1.001
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;;919
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;22 Huesca;170
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;44 Teruel;61
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;50 Zaragoza;688
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;03 Asturias, Principado de;;642
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;04 Balears, Illes;;861
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;;1.303
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;35 Palmas, Las;736
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;567
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;06 Cantabria;;536
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;;1.696
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;05 Ávila;88
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;09 Burgos;156
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;24 León;421
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;34 Palencia;103
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;37 Salamanca;219
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;40 Segovia;48
