Diagnóstico principal (CIE9MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;16 País Vasco;20 Gipuzkoa;502
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;17 Rioja, La;;316
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;18 Ceuta;;82
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;19 Melilla;;88
249-250 Diabetes mellitus;Hombres;Total Nacional;;;15.482
249-250 Diabetes mellitus;Hombres;Total Nacional;01 Andalucía;;2.280
249-250 Diabetes mellitus;Hombres;Total Nacional;01 Andalucía;04 Almería;218
249-250 Diabetes mellitus;Hombres;Total Nacional;01 Andalucía;11 Cádiz;383
249-250 Diabetes mellitus;Hombres;Total Nacional;01 Andalucía;14 Córdoba;146
249-250 Diabetes mellitus;Hombres;Total Nacional;01 Andalucía;18 Granada;269
249-250 Diabetes mellitus;Hombres;Total Nacional;01 Andalucía;21 Huelva;155
249-250 Diabetes mellitus;Hombres;Total Nacional;01 Andalucía;23 Jaén;235
249-250 Diabetes mellitus;Hombres;Total Nacional;01 Andalucía;29 Málaga;394
249-250 Diabetes mellitus;Hombres;Total Nacional;01 Andalucía;41 Sevilla;480
249-250 Diabetes mellitus;Hombres;Total Nacional;02 Aragón;;526
249-250 Diabetes mellitus;Hombres;Total Nacional;02 Aragón;22 Huesca;90
249-250 Diabetes mellitus;Hombres;Total Nacional;02 Aragón;44 Teruel;46
249-250 Diabetes mellitus;Hombres;Total Nacional;02 Aragón;50 Zaragoza;390
249-250 Diabetes mellitus;Hombres;Total Nacional;03 Asturias, Principado de;;407
249-250 Diabetes mellitus;Hombres;Total Nacional;04 Balears, Illes;;478
249-250 Diabetes mellitus;Hombres;Total Nacional;05 Canarias;;724
249-250 Diabetes mellitus;Hombres;Total Nacional;05 Canarias;35 Palmas, Las;422
249-250 Diabetes mellitus;Hombres;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;302
249-250 Diabetes mellitus;Hombres;Total Nacional;06 Cantabria;;206
