Diagnóstico principal (CIE10MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;;;26.627
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;;3.823
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;04 Almería;379
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;11 Cádiz;578
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;14 Córdoba;328
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;18 Granada;458
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;21 Huelva;265
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;23 Jaén;354
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;29 Málaga;638
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;41 Sevilla;823
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;;734
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;22 Huesca;112
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;44 Teruel;60
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;50 Zaragoza;562
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;03 Asturias, Principado de;;628
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;04 Balears, Illes;;771
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;;1.185
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;35 Palmas, Las;664
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;521
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;06 Cantabria;;323
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;;1.687
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;05 Ávila;97
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;09 Burgos;261
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;24 León;243
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;34 Palencia;108
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;37 Salamanca;344
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;40 Segovia;54
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;42 Soria;46
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;47 Valladolid;363
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;49 Zamora;172
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;;925
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;02 Albacete;239
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;239
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;16 Cuenca;70
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;128
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;45 Toledo;249
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;;5.098
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;08 Barcelona;4.021
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;17 Girona;338
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;25 Lleida;196
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;43 Tarragona;543
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;;3.218
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;1.221
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;381
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;1.616
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;11 Extremadura;;573
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;11 Extremadura;06 Badajoz;415
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;11 Extremadura;10 Cáceres;158
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;;1.411
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;15 Coruña, A;563
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;27 Lugo;217
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;32 Ourense;148
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;12 Galicia;36 Pontevedra;482
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;13 Madrid, Comunidad de;;2.974
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;14 Murcia, Región de;;1.045
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;;357
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;;1.395
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;01 Araba/Álava;283
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;48 Bizkaia;603
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;16 País Vasco;20 Gipuzkoa;509
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;17 Rioja, La;;308
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;18 Ceuta;;66
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;19 Melilla;;105
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;;;15.802
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;;2.347
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;04 Almería;240
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;11 Cádiz;331
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;14 Córdoba;186
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;18 Granada;287
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;21 Huelva;163
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;23 Jaén;233
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;29 Málaga;413
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;01 Andalucía;41 Sevilla;494
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;;448
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;22 Huesca;64
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;44 Teruel;34
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;02 Aragón;50 Zaragoza;350
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;03 Asturias, Principado de;;337
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;04 Balears, Illes;;451
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;;704
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;35 Palmas, Las;430
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;275
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;06 Cantabria;;182
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;;957
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;05 Ávila;47
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;09 Burgos;137
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;24 León;143
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;34 Palencia;61
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;37 Salamanca;190
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;40 Segovia;32
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;42 Soria;22
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;47 Valladolid;233
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;07 Castilla y León;49 Zamora;93
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;;551
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;02 Albacete;139
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;138
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;16 Cuenca;44
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;72
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;08 Castilla - La Mancha;45 Toledo;159
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;;3.069
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;08 Barcelona;2.412
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;17 Girona;185
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;25 Lleida;117
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;09 Cataluña;43 Tarragona;354
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;;1.893
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;740
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;228
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;925
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;;330
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;06 Badajoz;250
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;11 Extremadura;10 Cáceres;80
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;;803
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;15 Coruña, A;329
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;27 Lugo;135
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;32 Ourense;77
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;12 Galicia;36 Pontevedra;261
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;13 Madrid, Comunidad de;;1.764
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;14 Murcia, Región de;;616
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;15 Navarra, Comunidad Foral de;;224
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;;836
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;01 Araba/Álava;188
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;48 Bizkaia;340
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;16 País Vasco;20 Gipuzkoa;307
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;17 Rioja, La;;191
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;18 Ceuta;;44
0401 Diabetes mellitus E08-E13;Hombres;Total Nacional;19 Melilla;;56
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;;;10.825
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;;1.477
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;04 Almería;139
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;11 Cádiz;247
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;14 Córdoba;142
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;18 Granada;171
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;21 Huelva;103
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;23 Jaén;120
0401 Diabetes mellitus E08-E13;Mujeres;Total Nacional;01 Andalucía;29 Málaga;225
