Diagnóstico principal (CIE9MC);Sexo;Provincia, Comunidad y Ciudad autónoma de hospitalización;Total
249-250 Diabetes mellitus;Ambos sexos;TOTAL NACIONAL;31.295
249-250 Diabetes mellitus;Ambos sexos;ANDALUCÍA;4.505
249-250 Diabetes mellitus;Ambos sexos;Almería;337
249-250 Diabetes mellitus;Ambos sexos;Cádiz;819
249-250 Diabetes mellitus;Ambos sexos;Córdoba;354
249-250 Diabetes mellitus;Ambos sexos;Granada;646
249-250 Diabetes mellitus;Ambos sexos;Huelva;283
249-250 Diabetes mellitus;Ambos sexos;Jaén;330
249-250 Diabetes mellitus;Ambos sexos;Málaga;644
249-250 Diabetes mellitus;Ambos sexos;Sevilla;1.090
249-250 Diabetes mellitus;Ambos sexos;ARAGÓN;962
249-250 Diabetes mellitus;Ambos sexos;Huesca;191
249-250 Diabetes mellitus;Ambos sexos;Teruel;76
249-250 Diabetes mellitus;Ambos sexos;Zaragoza;694
249-250 Diabetes mellitus;Ambos sexos;ASTURIAS, PRINCIPADO DE;1.046
249-250 Diabetes mellitus;Ambos sexos;BALEARS, ILLES;872
249-250 Diabetes mellitus;Ambos sexos;CANARIAS;1.559
249-250 Diabetes mellitus;Ambos sexos;Palmas, Las;787
249-250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;772
249-250 Diabetes mellitus;Ambos sexos;CANTABRIA;309
249-250 Diabetes mellitus;Ambos sexos;CASTILLA Y LEÓN;2.081
249-250 Diabetes mellitus;Ambos sexos;Ávila;107
249-250 Diabetes mellitus;Ambos sexos;Burgos;334
249-250 Diabetes mellitus;Ambos sexos;León;319
249-250 Diabetes mellitus;Ambos sexos;Palencia;139
249-250 Diabetes mellitus;Ambos sexos;Salamanca;420
249-250 Diabetes mellitus;Ambos sexos;Segovia;87
249-250 Diabetes mellitus;Ambos sexos;Soria;73
249-250 Diabetes mellitus;Ambos sexos;Valladolid;405
249-250 Diabetes mellitus;Ambos sexos;Zamora;196
249-250 Diabetes mellitus;Ambos sexos;CASTILLA - LA MANCHA;1.093
249-250 Diabetes mellitus;Ambos sexos;Albacete;235
249-250 Diabetes mellitus;Ambos sexos;Ciudad Real;332
249-250 Diabetes mellitus;Ambos sexos;Cuenca;97
249-250 Diabetes mellitus;Ambos sexos;Guadalajara;150
249-250 Diabetes mellitus;Ambos sexos;Toledo;278
249-250 Diabetes mellitus;Ambos sexos;CATALUÑA;5.554
249-250 Diabetes mellitus;Ambos sexos;Barcelona;4.398
249-250 Diabetes mellitus;Ambos sexos;Girona;400
249-250 Diabetes mellitus;Ambos sexos;Lleida;260
249-250 Diabetes mellitus;Ambos sexos;Tarragona;496
249-250 Diabetes mellitus;Ambos sexos;COMUNITAT VALENCIANA;3.806
249-250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;1.436
249-250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;408
249-250 Diabetes mellitus;Ambos sexos;Valencia/València;1.962
249-250 Diabetes mellitus;Ambos sexos;EXTREMADURA;720
249-250 Diabetes mellitus;Ambos sexos;Badajoz;513
249-250 Diabetes mellitus;Ambos sexos;Cáceres;207
249-250 Diabetes mellitus;Ambos sexos;GALICIA;1.782
249-250 Diabetes mellitus;Ambos sexos;Coruña, A;695
249-250 Diabetes mellitus;Ambos sexos;Lugo;259
249-250 Diabetes mellitus;Ambos sexos;Ourense;265
249-250 Diabetes mellitus;Ambos sexos;Pontevedra;563
249-250 Diabetes mellitus;Ambos sexos;MADRID, COMUNIDAD DE;3.187
249-250 Diabetes mellitus;Ambos sexos;MURCIA, REGIÓN DE;1.305
249-250 Diabetes mellitus;Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;425
249-250 Diabetes mellitus;Ambos sexos;PAÍS VASCO;1.537
249-250 Diabetes mellitus;Ambos sexos;Araba/Álava;288
249-250 Diabetes mellitus;Ambos sexos;Bizkaia;634
249-250 Diabetes mellitus;Ambos sexos;Gipuzkoa;615
249-250 Diabetes mellitus;Ambos sexos;RIOJA, LA;355
249-250 Diabetes mellitus;Ambos sexos;Ceuta;112
249-250 Diabetes mellitus;Ambos sexos;Melilla;85
249-250 Diabetes mellitus;Varones;TOTAL NACIONAL;17.516
249-250 Diabetes mellitus;Varones;ANDALUCÍA;2.654
249-250 Diabetes mellitus;Varones;Almería;208
249-250 Diabetes mellitus;Varones;Cádiz;461
249-250 Diabetes mellitus;Varones;Córdoba;192
249-250 Diabetes mellitus;Varones;Granada;370
249-250 Diabetes mellitus;Varones;Huelva;150
249-250 Diabetes mellitus;Varones;Jaén;209
249-250 Diabetes mellitus;Varones;Málaga;407
249-250 Diabetes mellitus;Varones;Sevilla;657
249-250 Diabetes mellitus;Varones;ARAGÓN;518
249-250 Diabetes mellitus;Varones;Huesca;94
249-250 Diabetes mellitus;Varones;Teruel;45
249-250 Diabetes mellitus;Varones;Zaragoza;379
249-250 Diabetes mellitus;Varones;ASTURIAS, PRINCIPADO DE;544
249-250 Diabetes mellitus;Varones;BALEARS, ILLES;533
249-250 Diabetes mellitus;Varones;CANARIAS;859
249-250 Diabetes mellitus;Varones;Palmas, Las;434
249-250 Diabetes mellitus;Varones;Santa Cruz de Tenerife;425
249-250 Diabetes mellitus;Varones;CANTABRIA;156
249-250 Diabetes mellitus;Varones;CASTILLA Y LEÓN;1.165
249-250 Diabetes mellitus;Varones;Ávila;62
249-250 Diabetes mellitus;Varones;Burgos;168
249-250 Diabetes mellitus;Varones;León;182
249-250 Diabetes mellitus;Varones;Palencia;74
249-250 Diabetes mellitus;Varones;Salamanca;240
249-250 Diabetes mellitus;Varones;Segovia;53
249-250 Diabetes mellitus;Varones;Soria;43
249-250 Diabetes mellitus;Varones;Valladolid;232
249-250 Diabetes mellitus;Varones;Zamora;110
249-250 Diabetes mellitus;Varones;CASTILLA - LA MANCHA;608
249-250 Diabetes mellitus;Varones;Albacete;139
249-250 Diabetes mellitus;Varones;Ciudad Real;171
249-250 Diabetes mellitus;Varones;Cuenca;54
249-250 Diabetes mellitus;Varones;Guadalajara;96
249-250 Diabetes mellitus;Varones;Toledo;148
249-250 Diabetes mellitus;Varones;CATALUÑA;3.082
249-250 Diabetes mellitus;Varones;Barcelona;2.427
249-250 Diabetes mellitus;Varones;Girona;243
249-250 Diabetes mellitus;Varones;Lleida;147
249-250 Diabetes mellitus;Varones;Tarragona;264
249-250 Diabetes mellitus;Varones;COMUNITAT VALENCIANA;2.142
249-250 Diabetes mellitus;Varones;Alicante/Alacant;837
249-250 Diabetes mellitus;Varones;Castellón/Castelló;239
249-250 Diabetes mellitus;Varones;Valencia/València;1.066
249-250 Diabetes mellitus;Varones;EXTREMADURA;385
249-250 Diabetes mellitus;Varones;Badajoz;267
249-250 Diabetes mellitus;Varones;Cáceres;118
249-250 Diabetes mellitus;Varones;GALICIA;927
249-250 Diabetes mellitus;Varones;Coruña, A;367
249-250 Diabetes mellitus;Varones;Lugo;146
249-250 Diabetes mellitus;Varones;Ourense;109
249-250 Diabetes mellitus;Varones;Pontevedra;305
249-250 Diabetes mellitus;Varones;MADRID, COMUNIDAD DE;1.766
249-250 Diabetes mellitus;Varones;MURCIA, REGIÓN DE;768
249-250 Diabetes mellitus;Varones;NAVARRA, COMUNIDAD FORAL DE;234
249-250 Diabetes mellitus;Varones;PAÍS VASCO;870
249-250 Diabetes mellitus;Varones;Araba/Álava;146
249-250 Diabetes mellitus;Varones;Bizkaia;353
249-250 Diabetes mellitus;Varones;Gipuzkoa;371
249-250 Diabetes mellitus;Varones;RIOJA, LA;198
249-250 Diabetes mellitus;Varones;Ceuta;56
249-250 Diabetes mellitus;Varones;Melilla;50
249-250 Diabetes mellitus;Mujeres;TOTAL NACIONAL;13.779
249-250 Diabetes mellitus;Mujeres;ANDALUCÍA;1.851
249-250 Diabetes mellitus;Mujeres;Almería;129
249-250 Diabetes mellitus;Mujeres;Cádiz;358
249-250 Diabetes mellitus;Mujeres;Córdoba;162
249-250 Diabetes mellitus;Mujeres;Granada;277
249-250 Diabetes mellitus;Mujeres;Huelva;133
249-250 Diabetes mellitus;Mujeres;Jaén;121
249-250 Diabetes mellitus;Mujeres;Málaga;238
249-250 Diabetes mellitus;Mujeres;Sevilla;433
249-250 Diabetes mellitus;Mujeres;ARAGÓN;443
249-250 Diabetes mellitus;Mujeres;Huesca;97
249-250 Diabetes mellitus;Mujeres;Teruel;31
