Diagnóstico principal (CIE9MC);Sexo;Provincia, Comunidad y Ciudad autónoma de hospitalización;Total
249-250 Diabetes mellitus;Mujeres;Zaragoza;315
249-250 Diabetes mellitus;Mujeres;ASTURIAS, PRINCIPADO DE;503
249-250 Diabetes mellitus;Mujeres;BALEARS, ILLES;340
249-250 Diabetes mellitus;Mujeres;CANARIAS;700
249-250 Diabetes mellitus;Mujeres;Palmas, Las;353
249-250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;347
249-250 Diabetes mellitus;Mujeres;CANTABRIA;153
249-250 Diabetes mellitus;Mujeres;CASTILLA Y LEÓN;916
249-250 Diabetes mellitus;Mujeres;Ávila;45
249-250 Diabetes mellitus;Mujeres;Burgos;166
249-250 Diabetes mellitus;Mujeres;León;137
249-250 Diabetes mellitus;Mujeres;Palencia;65
249-250 Diabetes mellitus;Mujeres;Salamanca;180
249-250 Diabetes mellitus;Mujeres;Segovia;34
249-250 Diabetes mellitus;Mujeres;Soria;30
249-250 Diabetes mellitus;Mujeres;Valladolid;173
249-250 Diabetes mellitus;Mujeres;Zamora;86
249-250 Diabetes mellitus;Mujeres;CASTILLA - LA MANCHA;484
249-250 Diabetes mellitus;Mujeres;Albacete;96
249-250 Diabetes mellitus;Mujeres;Ciudad Real;161
249-250 Diabetes mellitus;Mujeres;Cuenca;43
249-250 Diabetes mellitus;Mujeres;Guadalajara;54
249-250 Diabetes mellitus;Mujeres;Toledo;130
249-250 Diabetes mellitus;Mujeres;CATALUÑA;2.472
249-250 Diabetes mellitus;Mujeres;Barcelona;1.971
249-250 Diabetes mellitus;Mujeres;Girona;157
249-250 Diabetes mellitus;Mujeres;Lleida;113
249-250 Diabetes mellitus;Mujeres;Tarragona;232
249-250 Diabetes mellitus;Mujeres;COMUNITAT VALENCIANA;1.664
249-250 Diabetes mellitus;Mujeres;Alicante/Alacant;599
249-250 Diabetes mellitus;Mujeres;Castellón/Castelló;169
249-250 Diabetes mellitus;Mujeres;Valencia/València;896
249-250 Diabetes mellitus;Mujeres;EXTREMADURA;335
249-250 Diabetes mellitus;Mujeres;Badajoz;246
249-250 Diabetes mellitus;Mujeres;Cáceres;89
249-250 Diabetes mellitus;Mujeres;GALICIA;855
249-250 Diabetes mellitus;Mujeres;Coruña, A;328
249-250 Diabetes mellitus;Mujeres;Lugo;113
249-250 Diabetes mellitus;Mujeres;Ourense;156
249-250 Diabetes mellitus;Mujeres;Pontevedra;258
249-250 Diabetes mellitus;Mujeres;MADRID, COMUNIDAD DE;1.421
249-250 Diabetes mellitus;Mujeres;MURCIA, REGIÓN DE;536
249-250 Diabetes mellitus;Mujeres;NAVARRA, COMUNIDAD FORAL DE;190
249-250 Diabetes mellitus;Mujeres;PAÍS VASCO;667
249-250 Diabetes mellitus;Mujeres;Araba/Álava;142
249-250 Diabetes mellitus;Mujeres;Bizkaia;281
249-250 Diabetes mellitus;Mujeres;Gipuzkoa;244
249-250 Diabetes mellitus;Mujeres;RIOJA, LA;157
249-250 Diabetes mellitus;Mujeres;Ceuta;56
249-250 Diabetes mellitus;Mujeres;Melilla;35
