Diagnóstico principal (CIE9MC);Sexo;Provincia, Comunidad y Ciudad autónoma de hospitalización;Total
249-250 Diabetes mellitus;Hombres;Salamanca;211
249-250 Diabetes mellitus;Hombres;Segovia;42
249-250 Diabetes mellitus;Hombres;Soria;29
249-250 Diabetes mellitus;Hombres;Valladolid;226
249-250 Diabetes mellitus;Hombres;Zamora;97
249-250 Diabetes mellitus;Hombres;CASTILLA - LA MANCHA;527
249-250 Diabetes mellitus;Hombres;Albacete;126
249-250 Diabetes mellitus;Hombres;Ciudad Real;174
249-250 Diabetes mellitus;Hombres;Cuenca;41
249-250 Diabetes mellitus;Hombres;Guadalajara;52
249-250 Diabetes mellitus;Hombres;Toledo;134
249-250 Diabetes mellitus;Hombres;CATALUÑA;2.791
249-250 Diabetes mellitus;Hombres;Barcelona;2.217
249-250 Diabetes mellitus;Hombres;Girona;203
249-250 Diabetes mellitus;Hombres;Lleida;112
249-250 Diabetes mellitus;Hombres;Tarragona;258
249-250 Diabetes mellitus;Hombres;COMUNITAT VALENCIANA;1.953
249-250 Diabetes mellitus;Hombres;Alicante/Alacant;817
249-250 Diabetes mellitus;Hombres;Castellón/Castelló;228
249-250 Diabetes mellitus;Hombres;Valencia/València;907
249-250 Diabetes mellitus;Hombres;EXTREMADURA;445
249-250 Diabetes mellitus;Hombres;Badajoz;302
249-250 Diabetes mellitus;Hombres;Cáceres;143
249-250 Diabetes mellitus;Hombres;GALICIA;886
249-250 Diabetes mellitus;Hombres;Coruña, A;367
249-250 Diabetes mellitus;Hombres;Lugo;143
249-250 Diabetes mellitus;Hombres;Ourense;99
249-250 Diabetes mellitus;Hombres;Pontevedra;277
249-250 Diabetes mellitus;Hombres;MADRID, COMUNIDAD DE;1.746
249-250 Diabetes mellitus;Hombres;MURCIA, REGIÓN DE;676
249-250 Diabetes mellitus;Hombres;NAVARRA, COMUNIDAD FORAL DE;247
249-250 Diabetes mellitus;Hombres;PAÍS VASCO;842
249-250 Diabetes mellitus;Hombres;Araba/Álava;136
249-250 Diabetes mellitus;Hombres;Bizkaia;350
249-250 Diabetes mellitus;Hombres;Gipuzkoa;356
249-250 Diabetes mellitus;Hombres;RIOJA, LA;192
249-250 Diabetes mellitus;Hombres;Ceuta;55
249-250 Diabetes mellitus;Hombres;Melilla;48
249-250 Diabetes mellitus;Mujeres;TOTAL NACIONAL;12.223
249-250 Diabetes mellitus;Mujeres;ANDALUCÍA;1.555
249-250 Diabetes mellitus;Mujeres;Almería;142
249-250 Diabetes mellitus;Mujeres;Cádiz;285
249-250 Diabetes mellitus;Mujeres;Córdoba;138
249-250 Diabetes mellitus;Mujeres;Granada;247
249-250 Diabetes mellitus;Mujeres;Huelva;64
249-250 Diabetes mellitus;Mujeres;Jaén;117
249-250 Diabetes mellitus;Mujeres;Málaga;226
249-250 Diabetes mellitus;Mujeres;Sevilla;336
249-250 Diabetes mellitus;Mujeres;ARAGÓN;402
249-250 Diabetes mellitus;Mujeres;Huesca;64
249-250 Diabetes mellitus;Mujeres;Teruel;36
249-250 Diabetes mellitus;Mujeres;Zaragoza;302
249-250 Diabetes mellitus;Mujeres;ASTURIAS, PRINCIPADO DE;379
249-250 Diabetes mellitus;Mujeres;BALEARS, ILLES;311
249-250 Diabetes mellitus;Mujeres;CANARIAS;571
249-250 Diabetes mellitus;Mujeres;Palmas, Las;310
249-250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;261
249-250 Diabetes mellitus;Mujeres;CANTABRIA;154
249-250 Diabetes mellitus;Mujeres;CASTILLA Y LEÓN;888
249-250 Diabetes mellitus;Mujeres;Ávila;53
249-250 Diabetes mellitus;Mujeres;Burgos;122
249-250 Diabetes mellitus;Mujeres;León;147
249-250 Diabetes mellitus;Mujeres;Palencia;61
249-250 Diabetes mellitus;Mujeres;Salamanca;197
249-250 Diabetes mellitus;Mujeres;Segovia;31
249-250 Diabetes mellitus;Mujeres;Soria;27
249-250 Diabetes mellitus;Mujeres;Valladolid;165
249-250 Diabetes mellitus;Mujeres;Zamora;85
249-250 Diabetes mellitus;Mujeres;CASTILLA - LA MANCHA;447
249-250 Diabetes mellitus;Mujeres;Albacete;91
249-250 Diabetes mellitus;Mujeres;Ciudad Real;159
249-250 Diabetes mellitus;Mujeres;Cuenca;36
249-250 Diabetes mellitus;Mujeres;Guadalajara;52
249-250 Diabetes mellitus;Mujeres;Toledo;109
249-250 Diabetes mellitus;Mujeres;CATALUÑA;2.208
249-250 Diabetes mellitus;Mujeres;Barcelona;1.770
249-250 Diabetes mellitus;Mujeres;Girona;150
249-250 Diabetes mellitus;Mujeres;Lleida;77
249-250 Diabetes mellitus;Mujeres;Tarragona;212
249-250 Diabetes mellitus;Mujeres;COMUNITAT VALENCIANA;1.507
249-250 Diabetes mellitus;Mujeres;Alicante/Alacant;618
249-250 Diabetes mellitus;Mujeres;Castellón/Castelló;133
249-250 Diabetes mellitus;Mujeres;Valencia/València;757
249-250 Diabetes mellitus;Mujeres;EXTREMADURA;295
249-250 Diabetes mellitus;Mujeres;Badajoz;221
249-250 Diabetes mellitus;Mujeres;Cáceres;74
249-250 Diabetes mellitus;Mujeres;GALICIA;718
249-250 Diabetes mellitus;Mujeres;Coruña, A;269
249-250 Diabetes mellitus;Mujeres;Lugo;113
249-250 Diabetes mellitus;Mujeres;Ourense;80
249-250 Diabetes mellitus;Mujeres;Pontevedra;256
249-250 Diabetes mellitus;Mujeres;MADRID, COMUNIDAD DE;1.327
249-250 Diabetes mellitus;Mujeres;MURCIA, REGIÓN DE;442
249-250 Diabetes mellitus;Mujeres;NAVARRA, COMUNIDAD FORAL DE;142
249-250 Diabetes mellitus;Mujeres;PAÍS VASCO;642
249-250 Diabetes mellitus;Mujeres;Araba/Álava;88
249-250 Diabetes mellitus;Mujeres;Bizkaia;304
249-250 Diabetes mellitus;Mujeres;Gipuzkoa;250
249-250 Diabetes mellitus;Mujeres;RIOJA, LA;157
249-250 Diabetes mellitus;Mujeres;Ceuta;46
249-250 Diabetes mellitus;Mujeres;Melilla;30
